epoch,train_loss,val_loss,elapsed_s
1,100.483535,72.02994,1.5
2,72.503818,71.226389,1.5
3,71.85809,70.772987,1.7
4,71.463542,71.883788,1.6
5,71.493978,71.245133,1.7
6,71.492404,71.4176,1.6
7,71.15853,71.63562,1.6
8,71.067002,71.864667,1.6
9,71.136924,70.698461,1.5
10,71.185554,70.526814,1.6
11,70.929548,73.096941,1.6
12,71.013516,70.320774,1.7
13,71.105479,72.515034,1.8
14,71.109143,70.455786,1.5
15,70.745146,70.770941,1.6
16,70.668937,71.454599,1.7
17,70.888265,71.035555,1.7
18,70.748119,70.583698,1.6
19,70.852527,71.057219,1.6
20,70.920771,70.546754,1.7
21,70.491839,71.037229,1.7
22,70.718286,70.947487,1.6
