model,dataset,rmse,mae,r2,n_samples
single_task_nn_gdsc2,GDSC2,14.48,,,719
multi_task_nn_gdsc2,GDSC2,15.25,,,719
single_task_nn_prism,PRISM,8.3857,5.5272,0.7175,15000
multi_task_nn_prism,PRISM,8.4238,5.5127,0.7149,15000
