pathway_group,mt_rmse,mt_mae,mt_r2,st_rmse,st_mae,st_r2,delta_rmse,better,n_samples
apoptosis,12.6962,8.8111,0.7263,12.2846,8.803,0.7438,-0.4116,ST,260
cytotoxic,11.6568,8.2349,0.5665,11.6864,8.2737,0.5643,0.0296,MT,962
dna_damage,9.8353,6.9309,0.7787,9.7759,6.8923,0.7813,-0.0594,ST,1089
epigenetic,11.2647,7.9042,0.6703,11.1889,7.6849,0.6747,-0.0758,ST,485
hormone,6.5471,4.0166,0.4326,6.4624,4.0612,0.4472,-0.0847,ST,1434
hsp_chaperone,10.5808,8.7113,-0.0132,10.5869,8.718,-0.0144,0.0061,MT,46
immune,7.0383,4.9772,0.0464,7.0191,5.0863,0.0516,-0.0192,ST,199
kinase_inhibitor,10.2489,7.3998,0.5381,10.2676,7.4331,0.5364,0.0187,MT,2328
other,7.0567,4.5039,0.7075,7.0148,4.5242,0.711,-0.0419,ST,8039
signaling,4.7452,3.2344,0.0604,4.7387,3.2618,0.0629,-0.0065,ST,158
