epoch,train_loss,val_loss,elapsed_s
1,111.738547,72.805069,10.1
2,75.047903,72.764526,10.1
3,74.544413,74.660719,10.1
4,74.30595,72.007297,10.0
5,73.606143,71.931238,10.2
6,73.441634,70.960081,10.0
7,73.188242,72.301865,10.1
8,73.124522,72.030944,10.1
9,73.135063,72.150257,10.0
10,72.937948,72.321884,10.2
11,72.520312,72.212102,10.2
12,73.107433,71.829284,10.1
13,73.076925,71.546025,10.1
14,72.809491,72.933664,10.3
15,72.398436,71.787333,10.2
16,72.685403,72.81963,10.1
