feature	importance
ssgsea_TGF-beta Signaling	33
CCND1	31
HOXA10	29
CCNE2	28
RPA3	28
SNX6	26
ORC1	25
CASP3	25
HSPB1	24
CRELD2	23
FOXO3	23
RPS5	22
SPDEF	22
HMGA2	21
UBE3B	21
ZW10	20
RPP38	20
FRS2	20
UTP14A	20
SNAP25	20
CEBPD	20
MAPK13	20
DFFA	19
RPA2	19
CALU	19
TRAP1	19
MBOAT7	19
AURKB	19
CYB561	18
CHN1	18
ACOT9	18
LYPLA1	18
AKT1	18
KDELR2	18
POLE2	17
EIF5	17
NUP62	17
DNAJA3	17
MAPKAPK2	17
PSIP1	17
ADAT1	17
ETFB	17
EIF4EBP1	16
EED	16
IGF1R	16
PTGS2	16
POLR1C	16
KIF5C	16
FBXO11	16
RFX5	16
FOXJ3	16
MTHFD2	16
KIAA0355	16
HADH	16
SMNDC1	16
ACLY	16
SMARCA4	16
CEP57	15
SLC25A4	15
BECN1	15
TCEAL4	15
CAB39	15
KDM3A	15
JMJD6	15
LSM6	15
CEBPA	15
GATA3	15
MTFR1	15
FBXO7	15
TOMM34	15
FOXO4	15
MRPS16	15
DRAP1	14
SCAND1	14
NFKBIE	14
ZNF586	14
PLA2G4A	14
ITFG1	14
JUN	14
SH3BP5	14
HDGFRP3	14
SOX2	14
BLVRA	14
SUZ12	14
SPAG7	14
MLEC	14
SATB1	14
NENF	14
MYO10	13
PPP1R13B	13
RNPS1	13
LSM5	13
ALDH7A1	13
UBE3C	13
IKZF1	13
SCCPDH	13
SMC3	13
CDK7	13
BCL7B	13
LSR	13
CDK4	13
BIRC2	13
SIRT3	13
BLCAP	13
TFDP1	13
MAPK1IP1L	13
PSMB10	13
DYNLT3	13
GNPDA1	13
TP53BP2	13
PHKA1	13
HES1	13
SDHB	13
H2AFV	12
MELK	12
ABCB6	12
GADD45B	12
DNAJC15	12
COPB2	12
RUVBL1	12
MRPL19	12
DHRS7	12
LAP3	12
PRKCQ	12
DECR1	12
PRR15L	12
PLSCR1	12
LOXL1	12
NUP93	12
KIT	12
RAI14	12
NOTCH1	12
RAP1GAP	12
RFNG	12
COG7	12
HDAC6	12
PPP2R5E	12
COL1A1	12
IL1B	12
ABHD4	12
ANXA7	12
STAT1	12
TRIB3	12
SPEN	12
ICAM3	12
TCTN1	12
VPS28	12
ssgsea_Notch Signaling	12
USP22	12
CCNF	12
SNX11	12
CD320	12
CD58	12
STX4	12
SLC37A4	12
SLC1A4	12
SLC25A13	12
ATP6V1D	12
ssgsea_Apical Surface	11
BACE2	11
EPHA3	11
CAMSAP2	11
RAD51C	11
PACSIN3	11
RAB21	11
PUF60	11
HIF1A	11
TMED10	11
TPD52L2	11
PGM1	11
PCBD1	11
PSMG1	11
DUSP22	11
ZNF589	11
LPGAT1	11
BNIP3L	11
PRPF4	11
DNAJB1	11
MRPL12	11
GAPDH	11
PIN1	11
ATP2C1	11
BMP4	11
BID	11
ZNF318	11
STAP2	11
CISD1	11
FIS1	11
RBM15B	11
LYRM1	11
CDC45	11
ssgsea_PI3K/AKT/mTOR  Signaling	11
NCK1	11
CCND3	11
SPAG4	11
IER3	11
CGRRF1	11
HERPUD1	11
NIT1	11
MAT2A	11
UBE2L6	11
NVL	11
MAP3K4	11
NOS3	10
PECR	10
HEBP1	10
MRPS2	10
DUSP3	10
APPBP2	10
DUSP14	10
FGFR4	10
NOSIP	10
ATP1B1	10
POLB	10
YTHDF1	10
TXNL4B	10
USP1	10
TSPAN6	10
ENOSF1	10
ENOPH1	10
MYC	10
FPGS	10
EXOSC4	10
PCM1	10
ATF1	10
EZH2	10
WASF3	10
LRPAP1	10
NPDC1	10
ATG3	10
EGF	10
ssgsea_p53 Pathway	10
CSRP1	10
GNB5	10
DNMT1	10
RAB31	10
SUPV3L1	10
RALB	10
CASC3	10
KIF14	10
RHOA	10
RNF167	10
CAT	10
ssgsea_Myc Targets V1	10
SUV39H1	10
RPS6	10
CLPX	10
CHEK2	10
SFN	10
KIAA0100	10
ssgsea_Spermatogenesis	10
CENPE	10
ssgsea_mTORC1 Signaling	10
SKP1	10
CTNNAL1	10
NGRN	10
DERA	10
TFAP2A	10
IL13RA1	10
TIMELESS	10
HSPD1	10
ssgsea_Apical Junction	10
PPIC	10
DDX10	10
TMCO1	10
LBR	10
TESK1	10
HMG20B	10
DFFB	10
FZD7	9
AKR7A2	9
HEATR1	9
LRRC16A	9
ID2	9
MAP2K5	9
ssgsea_Reactive Oxygen Species Pathway	9
NFIL3	9
HAT1	9
MAPKAPK3	9
MCM3	9
MSH6	9
MOK	9
MBNL1	9
GNA15	9
XPNPEP1	9
ADAM10	9
ICMT	9
MLLT11	9
ADH5	9
GMNN	9
GABPB1	9
SLC11A2	9
UBQLN2	9
CBLB	9
