correction_method	dataset_id	n_train	n_test	n_test_pos	n_features	auc	treatment_class
leaked_combat	BrighTNess	5116	482	236	1001	0.5826098938955491	parp
leaked_combat	GSE104645	5472	126	112	1001	0.5293367346938775	chemo
leaked_combat	GSE104958	5552	46	12	1001	0.6225490196078431	chemo
leaked_combat	GSE109211	5458	140	42	1001	1.0	chemo
leaked_combat	GSE131978	5561	37	18	1001	0.5087719298245614	chemo
leaked_combat	GSE14615	5578	20	6	1001	0.4047619047619047	chemo
leaked_combat	GSE14671	5539	59	41	1001	0.4566395663956639	chemo
leaked_combat	GSE173263	5559	39	29	1001	0.4827586206896552	chemo
leaked_combat	GSE19293	5546	52	24	1001	0.44642857142857145	chemo
leaked_combat	GSE20181	5444	154	110	1001	0.39793388429752063	chemo
leaked_combat	GSE20194	5320	278	56	1001	0.9161036036036037	chemo
leaked_combat	GSE20271	5420	178	26	1001	0.7649291497975709	chemo
leaked_combat	GSE21974	5541	57	18	1001	0.5598290598290598	chemo
leaked_combat	GSE22093	5501	97	28	1001	0.6946169772256728	chemo
leaked_combat	GSE23988	5537	61	20	1001	0.9804878048780488	chemo
leaked_combat	GSE25066	5110	488	99	1001	0.8775155150476487	chemo
leaked_combat	GSE28702	5515	83	42	1001	0.6091753774680604	chemo
leaked_combat	GSE32646	5483	115	27	1001	0.7908249158249158	chemo
leaked_combat	GSE35640	5542	56	22	1001	0.6363636363636364	chemo
leaked_combat	GSE37946	5548	50	27	1001	0.6972624798711755	chemo
leaked_combat	GSE41998	5392	206	201	1001	0.6696517412935324	chemo
leaked_combat	GSE44272	5545	53	35	1001	1.0	chemo
leaked_combat	GSE4779	5496	102	39	1001	1.0	chemo
leaked_combat	GSE48905	5559	39	15	1001	0.4611111111111111	chemo
leaked_combat	GSE50948	5442	156	53	1001	0.5284850705257373	chemo
leaked_combat	GSE5122	5541	57	4	1001	0.7688679245283019	chemo
leaked_combat	GSE61676	5512	86	46	1001	1.0	chemo
leaked_combat	GSE62321	5541	57	26	1001	0.07568238213399503	chemo
leaked_combat	GSE63885	5530	68	65	1001	0.38461538461538464	chemo
leaked_combat	GSE65021	5558	40	31	1001	1.0	chemo
leaked_combat	GSE66999	5522	76	70	1001	0.3261904761904762	chemo
leaked_combat	GSE6861	5437	161	66	1001	1.0	chemo
leaked_combat	GSE68871	5480	118	97	1001	0.5660284732449681	chemo
leaked_combat	GSE72970	5474	124	63	1001	0.5797553994275305	chemo
leaked_combat	GSE73578	5535	63	40	1001	0.3934782608695652	chemo
leaked_combat	GSE76360	5502	96	66	1001	1.0	chemo
leaked_combat	GSE82172	5446	152	21	1001	1.0	chemo
leaked_combat	GSE8970	5572	26	13	1001	0.41420118343195267	chemo
leaked_combat	GSE9782	5286	312	180	1001	0.9999999999999999	chemo
leaked_combat	ISPY2	4610	988	319	1001	0.5117027707100383	combination
none	BrighTNess	5116	482	236	1001	0.5921179550778559	parp
none	GSE104645	5472	126	112	1001	0.4732142857142857	chemo
