config	eval_type	holdout	holdout_technology	test_aware	production_candidate	n_features	n_pos	n_neg	threshold_used	auroc	auprc	mcc	bal_acc
raw_common__agnostic	standard_lodo	BrighTNess	rnaseq	False	True	918	236	246	0.47	0.6058288548987185	0.5852490438524275	0.15112084633524558	0.5754099490147444
raw_common__agnostic	standard_lodo	GSE104645	agilent	False	True	918	112	14	0.44000000000000006	0.4292091836734694	0.8732653773561722	-0.03466876226407682	0.4732142857142857
raw_common__agnostic	standard_lodo	GSE104958	rnaseq	False	True	918	12	34	0.48	0.6740196078431373	0.5277021951478473	0.3602065719969639	0.6887254901960784
raw_common__agnostic	standard_lodo	GSE109211	agilent	False	True	918	42	98	0.48	0.4856656948493683	0.27339323087798373	0.006257827179021986	0.5034013605442177
raw_common__agnostic	standard_lodo	GSE131978	affymetrix	False	True	918	18	19	0.44000000000000006	0.3654970760233918	0.46926751044921744	-0.17123372230469378	0.4722222222222222
raw_common__agnostic	standard_lodo	GSE14615	affymetrix	False	True	918	6	14	0.49	0.35714285714285715	0.27124183006535946	-0.2182178902359924	0.38095238095238093
raw_common__agnostic	standard_lodo	GSE14671	affymetrix	False	True	918	41	18	0.45000000000000007	0.4796747967479674	0.7006022038313986	-0.1476190956521327	0.42411924119241196
raw_common__agnostic	standard_lodo	GSE173263	agilent	False	True	918	29	10	0.44000000000000006	0.6793103448275862	0.8908068417797355	0.4258672210719905	0.743103448275862
raw_common__agnostic	standard_lodo	GSE19293	affymetrix	False	True	918	24	28	0.44000000000000006	0.5758928571428572	0.5773266926490332	0.22184215999396067	0.6071428571428572
raw_common__agnostic	standard_lodo	GSE20181	affymetrix	False	True	918	110	44	0.44000000000000006	0.39752066115702483	0.6762647032273825	-0.045454545454545456	0.47727272727272724
raw_common__agnostic	standard_lodo	GSE20194	affymetrix	False	True	918	56	222	0.42000000000000004	0.9366151866151866	0.7953658700830281	0.6521389020238356	0.8344594594594594
raw_common__agnostic	standard_lodo	GSE20271	affymetrix	False	True	918	26	152	0.44000000000000006	0.7259615384615384	0.30161578769858394	0.27340344152561324	0.6923076923076923
raw_common__agnostic	standard_lodo	GSE21974	agilent	False	True	918	18	39	0.45000000000000007	0.5541310541310541	0.4140743159564999	0.06805446536716203	0.5363247863247864
raw_common__agnostic	standard_lodo	GSE22093	affymetrix	False	True	918	28	69	0.45999999999999996	0.7318840579710145	0.593652507939174	0.3473084886128364	0.6736542443064182
raw_common__agnostic	standard_lodo	GSE23988	affymetrix	False	True	918	20	41	0.42000000000000004	0.9658536585365853	0.9461221996079483	0.7743615693643384	0.8628048780487805
raw_common__agnostic	standard_lodo	GSE25066	affymetrix	False	True	918	99	389	0.43000000000000005	0.8809431071641869	0.6992415583371003	0.568772422050427	0.8156241073978863
raw_common__agnostic	standard_lodo	GSE28702	affymetrix	False	True	918	42	41	0.44000000000000006	0.6045296167247387	0.6313465526865253	0.20758816655786405	0.6010452961672474
raw_common__agnostic	standard_lodo	GSE32646	affymetrix	False	True	918	27	88	0.47	0.7281144781144782	0.43120032763431104	0.3586701882637892	0.7026515151515151
raw_common__agnostic	standard_lodo	GSE35640	affymetrix	False	True	918	22	34	0.52	0.520053475935829	0.4355295317786951	-0.06540699401677286	0.4679144385026738
raw_common__agnostic	standard_lodo	GSE37946	affymetrix	False	True	918	27	23	0.49	0.7037037037037037	0.7795815562675446	0.3279749460075622	0.6264090177133655
raw_common__agnostic	standard_lodo	GSE41998	affymetrix	False	True	918	201	5	0.45000000000000007	0.5731343283582089	0.9812224487812102	0.05665389618077112	0.5890547263681593
raw_common__agnostic	standard_lodo	GSE44272	agilent	False	True	918	35	18	0.45000000000000007	0.44761904761904764	0.6410732428578786	-0.20027758514399735	0.3944444444444445
raw_common__agnostic	standard_lodo	GSE4779	agilent	False	True	918	39	63	0.51	0.9971509971509972	0.9952791400949791	0.9376273128643323	0.9664224664224663
raw_common__agnostic	standard_lodo	GSE48905	affymetrix	False	True	918	15	24	0.47	0.5527777777777778	0.4541451972681358	-0.016484511834894675	0.4916666666666667
