feature	mean_abs_shap	mean_shap	category	direction
CCND1	0.10582068004028863	-0.008421903071466199	gene_expression	resistance
HMGA2	0.04733779374850376	-0.002508968437712946	gene_expression	resistance
FRS2	0.0468348262804017	-0.0012563672102661161	gene_expression	resistance
AKT1	0.04334288409557905	-0.002041966504438967	gene_expression	resistance
CYB561	0.0426597316727242	0.0012508732974019976	gene_expression	response
CEBPD	0.04088051646693809	0.0008688397117543621	gene_expression	response
TCEAL4	0.03696846264564072	-0.0019020690047800116	gene_expression	resistance
KIF5C	0.034068620944104774	0.0008830245102265316	gene_expression	response
FOXO3	0.0336727833224544	-0.0005618704334928576	gene_expression	resistance
ABCB6	0.03254670498655921	-0.002261538368493261	gene_expression	resistance
HOXA10	0.031758132155979724	0.00015249249336134633	gene_expression	response
GATA3	0.03173670577934261	0.0036304911493892146	gene_expression	response
singscore_Spermatogenesis	0.03166293916969635	-0.0020797036499689853	singscore_pathway	resistance
ZW10	0.031333620141592675	0.0011123975234935486	gene_expression	response
SPAG4	0.031066960842824978	0.0007085396544114313	gene_expression	response
SMARCA4	0.03076115692539519	0.0010935064541394831	gene_expression	response
RPA2	0.03072354924578288	-0.00012029927988153457	gene_expression	resistance
SNX6	0.030321086785923195	0.0005168057587130996	gene_expression	response
RPP38	0.02998263411752782	0.001598842847596216	gene_expression	response
CHN1	0.028875413042297442	0.00023868688076159728	gene_expression	response
CALU	0.028613662007273468	0.00015287177453323289	gene_expression	response
SLC25A4	0.027597881922733106	-1.658236412433994e-05	gene_expression	resistance
CRELD2	0.026631314621433137	0.0016516814544115157	gene_expression	response
HADH	0.026592657065642948	-0.000711200687622046	gene_expression	resistance
CASP3	0.026242299724417516	0.0007606178781404139	gene_expression	response
PPP1R13B	0.02616103535771862	0.002042326903971968	gene_expression	response
SMC4	0.025075124148357487	-0.00024343913139816237	gene_expression	resistance
LSM6	0.024820509875116924	-8.286061385390726e-06	gene_expression	resistance
TFDP1	0.024646833614011467	-0.0010902337192317077	gene_expression	resistance
UBE3B	0.02463882205288136	-0.0010167359172115037	gene_expression	resistance
SOX2	0.024318970985140798	-0.0008661478078344671	gene_expression	resistance
CAST	0.02424530947642217	0.001501294329756045	gene_expression	response
IGF1R	0.024149876775346704	-0.0008845570043894174	gene_expression	resistance
GOLT1B	0.02367271797642902	0.0007519030500962817	gene_expression	response
singscore_Oxidative Phosphorylation	0.02348993666193512	-0.0011272435597820352	singscore_pathway	resistance
LYPLA1	0.02294928732377134	-0.0008607816529311586	gene_expression	resistance
COL1A1	0.022317199350090484	-0.001732824638612395	gene_expression	resistance
MRPS16	0.02231197239674594	-0.0013988103230137645	gene_expression	resistance
USP1	0.021868974369406834	0.0005874019122048778	gene_expression	response
SMC3	0.021739739837911016	-5.703060174724387e-05	gene_expression	resistance
SPDEF	0.021719215916788763	-0.0005168629097898382	gene_expression	resistance
NCK2	0.021707472355761617	0.0006153110423687891	gene_expression	response
PSIP1	0.02124555445780578	-0.0020188381928881133	gene_expression	resistance
RNPS1	0.02121763876963063	0.00016790790270674886	gene_expression	response
NUP62	0.021092575607826777	-0.00012729563529503132	gene_expression	resistance
PCNA	0.021067834270297795	-0.0005300594418639399	gene_expression	resistance
MAPKAPK2	0.02068956037381305	-0.001521216269302855	gene_expression	resistance
KIAA0355	0.020656627287013108	0.0007544166939698904	gene_expression	response
RFX5	0.020570827280913986	9.66729823827128e-05	gene_expression	response
FOS	0.02051313308024676	-0.001029127056450131	gene_expression	resistance
DHRS7	0.020263648264467436	-0.0006939804832147287	gene_expression	resistance
NENF	0.02024898347234716	-0.000997676314105677	gene_expression	resistance
TRAP1	0.020163012305124666	0.0006744762731025693	gene_expression	response
PSMG1	0.020101759671197584	0.0009262771408611583	gene_expression	response
MELK	0.019703610449466016	-0.0029978360493587834	gene_expression	resistance
UTP14A	0.019546090631364567	0.001582355602097788	gene_expression	response
CCNE2	0.01953125456619897	0.0004338209612591006	gene_expression	response
SH3BP5	0.018831044952852857	-0.0001783229219419612	gene_expression	resistance
NFKBIE	0.01879163295376688	0.0008236311834035568	gene_expression	response
NOTCH1	0.018708159178854083	0.0009376279637589682	gene_expression	response
HSPB1	0.018553371247992848	0.00031940522236709206	gene_expression	response
CLPX	0.017909891415956544	2.3063740844670278e-05	gene_expression	response
ICAM3	0.0176095199881133	-0.0005505937438767362	gene_expression	resistance
CHERP	0.017524080332826906	-0.00031896427379455574	gene_expression	resistance
PLA2G4A	0.01752403471758699	-0.0017610823628751674	gene_expression	resistance
PUF60	0.01735656347906915	0.0007073157851653253	gene_expression	response
SYK	0.017279208379010192	0.0002886535824808406	gene_expression	response
PTGS2	0.017153980947588493	-0.0005177310515489233	gene_expression	resistance
TJP1	0.017127693457642673	-0.0008345029822049979	gene_expression	resistance
