config	eval_type	test_aware	production_candidate	mean_auroc	std_auroc	mean_auprc	mean_mcc	mean_bal_acc	n_folds	composite
rank_plus_singscore_reo_knowledge__agnostic	standard_lodo	False	True	0.6018513109456789	0.18115666450467374	0.6191284252303898	0.1565737091319327	0.588416037027532	38	0.5997555302473451
rank_genes__agnostic	standard_lodo	False	True	0.5997054259262677	0.17261096297051676	0.6060311899661379	0.1634028707164509	0.5918290044324181	38	0.5958126837502103
rank_plus_ssgsea__agnostic	standard_lodo	False	True	0.5954195232858689	0.1819377971731914	0.6128950755263134	0.14581451936286535	0.5768324182395984	38	0.5937406194978716
rank_plus_singscore__agnostic	standard_lodo	False	True	0.5947529544223609	0.16786727413866395	0.6149170274525819	0.13816131049696287	0.5794054598425534	38	0.5929168790411414
rank_plus_all_pathways__agnostic	standard_lodo	False	True	0.5954248978515334	0.16973985043843098	0.6098688574568453	0.13926073588905374	0.5728001034496879	38	0.5916413744176352
rank_genes__platform_covariate	standard_lodo	False	True	0.5928758039000965	0.1805446195308106	0.6130676108171781	0.1358782572073305	0.5721961533523013	38	0.59129418110698
rank_plus_all_pathways__platform_covariate	standard_lodo	False	True	0.5913236859277726	0.17806714498062462	0.6077491780071023	0.14252298728133656	0.5747387856424254	38	0.590111452525181
raw_common__agnostic	standard_lodo	False	True	0.5781284472563194	0.19560708780860386	0.6116684972398607	0.1378531598693861	0.5698229517734202	38	0.586241174810291
singscore_only__agnostic	standard_lodo	False	True	0.576513192048796	0.1411015175789694	0.5827977580772256	0.1118830551126308	0.5588832905362267	38	0.5717508258941123
ssgsea_only__agnostic	standard_lodo	False	True	0.5441064200505248	0.1272944094651392	0.5584434923612348	0.05301579935043029	0.5275231149645929	38	0.5430192706956584
