config	eval_type	test_aware	production_candidate	mean_auroc	std_auroc	mean_auprc	mean_mcc	mean_bal_acc	n_folds
rank_genes__agnostic	standard_lodo	False	True	0.5997054259262677	0.17261096297051676	0.6060311899661379	0.1634028707164509	0.5918290044324181	38
rank_genes__agnostic	variant_A_microarray_to_rnaseq	False	True	0.6136232718894009		0.5586354707685819	0.14918849093556982	0.5746543778801843	1
rank_genes__agnostic	variant_B_affy_to_agilent	False	True	0.4911377023273633		0.41321163061784544	-0.01973825178970429	0.4921473438048718	1
rank_genes__agnostic	variant_C_rnaseq_holdout_BrighTNess	False	True	0.5972164806393826		0.57461259113133	0.139575427915266	0.5690195673143172	1
rank_genes__agnostic	variant_C_rnaseq_holdout_GSE104958	False	True	0.75		0.5396801138222707	0.4065595622717274	0.7279411764705883	1
rank_genes__platform_covariate	standard_lodo	False	True	0.5928758039000965	0.1805446195308106	0.6130676108171781	0.1358782572073305	0.5721961533523013	38
rank_plus_all_pathways__agnostic	standard_lodo	False	True	0.5954248978515334	0.16973985043843098	0.6098688574568453	0.13926073588905374	0.5728001034496879	38
rank_plus_all_pathways__agnostic	variant_A_microarray_to_rnaseq	False	True	0.6062211981566821		0.5801979242983698	0.12899244171847865	0.5632488479262673	1
rank_plus_all_pathways__agnostic	variant_B_affy_to_agilent	False	True	0.4870043578201322		0.4062983548242932	0.006203044653651986	0.5027755163937043	1
rank_plus_all_pathways__agnostic	variant_C_rnaseq_holdout_BrighTNess	False	True	0.6113752239217308		0.6041003187784987	0.12645660868052078	0.5621296679068486	1
rank_plus_all_pathways__agnostic	variant_C_rnaseq_holdout_GSE104958	False	True	0.6151960784313726		0.49615471605843875	0.17802545278729293	0.6004901960784315	1
rank_plus_all_pathways__platform_covariate	standard_lodo	False	True	0.5913236859277726	0.17806714498062462	0.6077491780071023	0.14252298728133656	0.5747387856424254	38
rank_plus_singscore__agnostic	standard_lodo	False	True	0.5947529544223609	0.16786727413866395	0.6149170274525819	0.13816131049696287	0.5794054598425534	38
rank_plus_singscore_reo_knowledge__agnostic	standard_lodo	False	True	0.6018513109456789	0.18115666450467374	0.6191284252303898	0.1565737091319327	0.588416037027532	38
rank_plus_singscore_reo_knowledge__agnostic	variant_A_microarray_to_rnaseq	False	True	0.5897609447004608		0.5459740682049419	0.12205443390306453	0.558410138248848	1
rank_plus_singscore_reo_knowledge__agnostic	variant_B_affy_to_agilent	False	True	0.49293749800466113		0.4094962347597666	-0.002082051525341909	0.49909611148357436	1
rank_plus_singscore_reo_knowledge__agnostic	variant_C_rnaseq_holdout_BrighTNess	False	True	0.5931514399889761		0.5886182038827705	0.10887419066642294	0.5536550916356621	1
rank_plus_singscore_reo_knowledge__agnostic	variant_C_rnaseq_holdout_GSE104958	False	True	0.767156862745098		0.6280393821154691	0.36567082102041226	0.7009803921568627	1
rank_plus_ssgsea__agnostic	standard_lodo	False	True	0.5954195232858689	0.1819377971731914	0.6128950755263134	0.14581451936286535	0.5768324182395984	38
raw_common__agnostic	standard_lodo	False	True	0.5781284472563194	0.19560708780860386	0.6116684972398607	0.1378531598693861	0.5698229517734202	38
singscore_only__agnostic	standard_lodo	False	True	0.576513192048796	0.1411015175789694	0.5827977580772256	0.1118830551126308	0.5588832905362267	38
ssgsea_only__agnostic	standard_lodo	False	True	0.5441064200505248	0.1272944094651392	0.5584434923612348	0.05301579935043029	0.5275231149645929	38
