config	test_dataset	n_train	n_test	n_test_pos	n_test_neg	auc	treatment_class
A_genes_only	BrighTNess	5116	482	236	246	0.6444467410775803	parp
A_genes_only	GSE104645	5472	126	112	14	0.5280612244897959	chemo
A_genes_only	GSE104958	5552	46	12	34	0.5637254901960784	chemo
A_genes_only	GSE109211	5458	140	42	98	0.6644800777453839	chemo
A_genes_only	GSE131978	5561	37	18	19	0.5292397660818713	chemo
A_genes_only	GSE14615	5578	20	6	14	0.46428571428571425	chemo
A_genes_only	GSE14671	5539	59	41	18	0.5691056910569106	chemo
A_genes_only	GSE173263	5559	39	29	10	0.6137931034482759	chemo
A_genes_only	GSE19293	5546	52	24	28	0.6011904761904762	chemo
A_genes_only	GSE20181	5444	154	110	44	0.41446280991735535	chemo
A_genes_only	GSE20194	5320	278	56	222	0.8829633204633205	chemo
A_genes_only	GSE20271	5420	178	26	152	0.7196356275303644	chemo
A_genes_only	GSE21974	5541	57	18	39	0.6994301994301995	chemo
A_genes_only	GSE22093	5501	97	28	69	0.6713250517598344	chemo
A_genes_only	GSE23988	5537	61	20	41	0.9304878048780487	chemo
A_genes_only	GSE25066	5110	488	99	389	0.8495235127625873	chemo
A_genes_only	GSE28702	5515	83	42	41	0.48606271777003485	chemo
A_genes_only	GSE32646	5483	115	27	88	0.7205387205387205	chemo
A_genes_only	GSE35640	5542	56	22	34	0.5842245989304813	chemo
A_genes_only	GSE37946	5548	50	27	23	0.7423510466988728	chemo
A_genes_only	GSE41998	5392	206	201	5	0.7014925373134329	chemo
A_genes_only	GSE44272	5545	53	35	18	0.4666666666666667	chemo
A_genes_only	GSE4779	5496	102	39	63	0.9914529914529914	chemo
A_genes_only	GSE48905	5559	39	15	24	0.375	chemo
A_genes_only	GSE50948	5442	156	53	103	0.49935885693350424	chemo
A_genes_only	GSE5122	5541	57	4	53	0.6462264150943396	chemo
A_genes_only	GSE61676	5512	86	46	40	0.5	chemo
A_genes_only	GSE62321	5541	57	26	31	0.543424317617866	chemo
A_genes_only	GSE63885	5530	68	65	3	0.3384615384615385	chemo
A_genes_only	GSE65021	5558	40	31	9	0.5376344086021505	chemo
A_genes_only	GSE66999	5522	76	70	6	0.419047619047619	chemo
A_genes_only	GSE6861	5437	161	66	95	0.8779904306220095	chemo
A_genes_only	GSE68871	5480	118	97	21	0.4722631320569465	chemo
A_genes_only	GSE72970	5474	124	63	61	0.5277127244340358	chemo
A_genes_only	GSE73578	5535	63	40	23	0.7086956521739131	chemo
A_genes_only	GSE76360	5502	96	66	30	0.5686868686868687	chemo
A_genes_only	GSE82172	5446	152	21	131	0.5209014903671393	chemo
A_genes_only	GSE8970	5572	26	13	13	0.7455621301775148	chemo
A_genes_only	GSE9782	5286	312	180	132	0.545138888888889	chemo
A_genes_only	ISPY2	4610	988	319	669	0.5375027529040209	combination
B_genes_ssgsea	BrighTNess	5116	482	236	246	0.6022116577097975	parp
B_genes_ssgsea	GSE104645	5472	126	112	14	0.4336734693877551	chemo
B_genes_ssgsea	GSE104958	5552	46	12	34	0.5588235294117647	chemo
B_genes_ssgsea	GSE109211	5458	140	42	98	0.7009232264334304	chemo
B_genes_ssgsea	GSE131978	5561	37	18	19	0.5321637426900585	chemo
B_genes_ssgsea	GSE14615	5578	20	6	14	0.488095238095238	chemo
B_genes_ssgsea	GSE14671	5539	59	41	18	0.5907859078590786	chemo
B_genes_ssgsea	GSE173263	5559	39	29	10	0.4310344827586207	chemo
B_genes_ssgsea	GSE19293	5546	52	24	28	0.6101190476190477	chemo
B_genes_ssgsea	GSE20181	5444	154	110	44	0.3566115702479339	chemo
B_genes_ssgsea	GSE20194	5320	278	56	222	0.8972812097812098	chemo
B_genes_ssgsea	GSE20271	5420	178	26	152	0.6963562753036436	chemo
B_genes_ssgsea	GSE21974	5541	57	18	39	0.6509971509971509	chemo
B_genes_ssgsea	GSE22093	5501	97	28	69	0.6635610766045549	chemo
B_genes_ssgsea	GSE23988	5537	61	20	41	0.9365853658536586	chemo
B_genes_ssgsea	GSE25066	5110	488	99	389	0.8679857702993949	chemo
B_genes_ssgsea	GSE28702	5515	83	42	41	0.5209059233449478	chemo
B_genes_ssgsea	GSE32646	5483	115	27	88	0.6767676767676768	chemo
B_genes_ssgsea	GSE35640	5542	56	22	34	0.5441176470588236	chemo
B_genes_ssgsea	GSE37946	5548	50	27	23	0.7922705314009661	chemo
B_genes_ssgsea	GSE41998	5392	206	201	5	0.6218905472636815	chemo
B_genes_ssgsea	GSE44272	5545	53	35	18	0.44603174603174606	chemo
B_genes_ssgsea	GSE4779	5496	102	39	63	0.9849409849409849	chemo
B_genes_ssgsea	GSE48905	5559	39	15	24	0.4694444444444445	chemo
B_genes_ssgsea	GSE50948	5442	156	53	103	0.5257373145264701	chemo
B_genes_ssgsea	GSE5122	5541	57	4	53	0.5990566037735848	chemo
B_genes_ssgsea	GSE61676	5512	86	46	40	0.5	chemo
B_genes_ssgsea	GSE62321	5541	57	26	31	0.5669975186104218	chemo
B_genes_ssgsea	GSE63885	5530	68	65	3	0.5333333333333333	chemo
B_genes_ssgsea	GSE65021	5558	40	31	9	0.5161290322580645	chemo
B_genes_ssgsea	GSE66999	5522	76	70	6	0.5857142857142857	chemo
B_genes_ssgsea	GSE6861	5437	161	66	95	0.845933014354067	chemo
B_genes_ssgsea	GSE68871	5480	118	97	21	0.5198821796759941	chemo
B_genes_ssgsea	GSE72970	5474	124	63	61	0.5230288836846213	chemo
B_genes_ssgsea	GSE73578	5535	63	40	23	0.6619565217391304	chemo
B_genes_ssgsea	GSE76360	5502	96	66	30	0.5580808080808081	chemo
B_genes_ssgsea	GSE82172	5446	152	21	131	0.4725554343874955	chemo
B_genes_ssgsea	GSE8970	5572	26	13	13	0.6035502958579881	chemo
B_genes_ssgsea	GSE9782	5286	312	180	132	0.5273148148148148	chemo
B_genes_ssgsea	ISPY2	4610	988	319	669	0.5245980760129515	combination
D_genes_ssgsea_progeny	BrighTNess	5116	482	236	246	0.6022116577097975	parp
D_genes_ssgsea_progeny	GSE104645	5472	126	112	14	0.4336734693877551	chemo
D_genes_ssgsea_progeny	GSE104958	5552	46	12	34	0.5588235294117647	chemo
D_genes_ssgsea_progeny	GSE109211	5458	140	42	98	0.7009232264334304	chemo
D_genes_ssgsea_progeny	GSE131978	5561	37	18	19	0.5321637426900585	chemo
D_genes_ssgsea_progeny	GSE14615	5578	20	6	14	0.488095238095238	chemo
D_genes_ssgsea_progeny	GSE14671	5539	59	41	18	0.5907859078590786	chemo
D_genes_ssgsea_progeny	GSE173263	5559	39	29	10	0.4310344827586207	chemo
D_genes_ssgsea_progeny	GSE19293	5546	52	24	28	0.6101190476190477	chemo
D_genes_ssgsea_progeny	GSE20181	5444	154	110	44	0.3566115702479339	chemo
D_genes_ssgsea_progeny	GSE20194	5320	278	56	222	0.8972812097812098	chemo
D_genes_ssgsea_progeny	GSE20271	5420	178	26	152	0.6963562753036436	chemo
D_genes_ssgsea_progeny	GSE21974	5541	57	18	39	0.6509971509971509	chemo
D_genes_ssgsea_progeny	GSE22093	5501	97	28	69	0.6635610766045549	chemo
D_genes_ssgsea_progeny	GSE23988	5537	61	20	41	0.9365853658536586	chemo
D_genes_ssgsea_progeny	GSE25066	5110	488	99	389	0.8679857702993949	chemo
D_genes_ssgsea_progeny	GSE28702	5515	83	42	41	0.5209059233449478	chemo
D_genes_ssgsea_progeny	GSE32646	5483	115	27	88	0.6767676767676768	chemo
D_genes_ssgsea_progeny	GSE35640	5542	56	22	34	0.5441176470588236	chemo
D_genes_ssgsea_progeny	GSE37946	5548	50	27	23	0.7922705314009661	chemo
D_genes_ssgsea_progeny	GSE41998	5392	206	201	5	0.6218905472636815	chemo
D_genes_ssgsea_progeny	GSE44272	5545	53	35	18	0.44603174603174606	chemo
D_genes_ssgsea_progeny	GSE4779	5496	102	39	63	0.9849409849409849	chemo
D_genes_ssgsea_progeny	GSE48905	5559	39	15	24	0.4694444444444445	chemo
D_genes_ssgsea_progeny	GSE50948	5442	156	53	103	0.5257373145264701	chemo
D_genes_ssgsea_progeny	GSE5122	5541	57	4	53	0.5990566037735848	chemo
D_genes_ssgsea_progeny	GSE61676	5512	86	46	40	0.5	chemo
D_genes_ssgsea_progeny	GSE62321	5541	57	26	31	0.5669975186104218	chemo
D_genes_ssgsea_progeny	GSE63885	5530	68	65	3	0.5333333333333333	chemo
D_genes_ssgsea_progeny	GSE65021	5558	40	31	9	0.5161290322580645	chemo
D_genes_ssgsea_progeny	GSE66999	5522	76	70	6	0.5857142857142857	chemo
D_genes_ssgsea_progeny	GSE6861	5437	161	66	95	0.845933014354067	chemo
D_genes_ssgsea_progeny	GSE68871	5480	118	97	21	0.5198821796759941	chemo
D_genes_ssgsea_progeny	GSE72970	5474	124	63	61	0.5230288836846213	chemo
D_genes_ssgsea_progeny	GSE73578	5535	63	40	23	0.6619565217391304	chemo
D_genes_ssgsea_progeny	GSE76360	5502	96	66	30	0.5580808080808081	chemo
D_genes_ssgsea_progeny	GSE82172	5446	152	21	131	0.4725554343874955	chemo
D_genes_ssgsea_progeny	GSE8970	5572	26	13	13	0.6035502958579881	chemo
D_genes_ssgsea_progeny	GSE9782	5286	312	180	132	0.5273148148148148	chemo
D_genes_ssgsea_progeny	ISPY2	4610	988	319	669	0.5245980760129515	combination
E_full_combat	BrighTNess	5116	482	236	246	0.5411154747140692	parp
E_full_combat	GSE104645	5472	126	112	14	0.9732142857142857	chemo
E_full_combat	GSE104958	5552	46	12	34	0.7205882352941176	chemo
E_full_combat	GSE109211	5458	140	42	98	0.9900388726919339	chemo
E_full_combat	GSE131978	5561	37	18	19	1.0	chemo
E_full_combat	GSE14615	5578	20	6	14	0.4761904761904762	chemo
E_full_combat	GSE14671	5539	59	41	18	0.4905149051490515	chemo
E_full_combat	GSE173263	5559	39	29	10	0.593103448275862	chemo
E_full_combat	GSE19293	5546	52	24	28	0.5089285714285714	chemo
E_full_combat	GSE20181	5444	154	110	44	1.0	chemo
E_full_combat	GSE20194	5320	278	56	222	1.0	chemo
E_full_combat	GSE20271	5420	178	26	152	1.0	chemo
E_full_combat	GSE21974	5541	57	18	39	0.9857549857549858	chemo
E_full_combat	GSE22093	5501	97	28	69	1.0	chemo
E_full_combat	GSE23988	5537	61	20	41	0.9890243902439024	chemo
E_full_combat	GSE25066	5110	488	99	389	0.9996364675027913	chemo
E_full_combat	GSE28702	5515	83	42	41	0.3960511033681765	chemo
E_full_combat	GSE32646	5483	115	27	88	0.561026936026936	chemo
E_full_combat	GSE35640	5542	56	22	34	0.5762032085561497	chemo
E_full_combat	GSE37946	5548	50	27	23	1.0	chemo
E_full_combat	GSE41998	5392	206	201	5	0.016915422885572136	chemo
E_full_combat	GSE44272	5545	53	35	18	0.9904761904761904	chemo
E_full_combat	GSE4779	5496	102	39	63	1.0	chemo
E_full_combat	GSE48905	5559	39	15	24	0.6361111111111111	chemo
E_full_combat	GSE50948	5442	156	53	103	0.4691335409415644	chemo
E_full_combat	GSE5122	5541	57	4	53	1.0	chemo
E_full_combat	GSE61676	5512	86	46	40	1.0	chemo
E_full_combat	GSE62321	5541	57	26	31	0.3200992555831265	chemo
E_full_combat	GSE63885	5530	68	65	3	0.49230769230769234	chemo
E_full_combat	GSE65021	5558	40	31	9	1.0	chemo
E_full_combat	GSE66999	5522	76	70	6	0.9833333333333334	chemo
E_full_combat	GSE6861	5437	161	66	95	1.0	chemo
E_full_combat	GSE68871	5480	118	97	21	0.521845851742759	chemo
E_full_combat	GSE72970	5474	124	63	61	0.5105386416861827	chemo
E_full_combat	GSE73578	5535	63	40	23	0.4271739130434783	chemo
E_full_combat	GSE76360	5502	96	66	30	0.991919191919192	chemo
E_full_combat	GSE82172	5446	152	21	131	0.4663758633224282	chemo
E_full_combat	GSE8970	5572	26	13	13	1.0	chemo
E_full_combat	GSE9782	5286	312	180	132	1.0	chemo
E_full_combat	ISPY2	4610	988	319	669	0.8216774205640758	combination
