config	treatment_class	mean_auc	median_auc	std_auc	n_folds
E_full_combat	chemo	0.7654343656460492	0.9845441595441595	0.2774576990606231	38
A_genes_only	chemo	0.6110685163887303	0.5688962798718896	0.15582068050964104	38
B_genes_ssgsea	chemo	0.6055430685633393	0.5629105240110932	0.14729838168558673	38
D_genes_ssgsea_progeny	chemo	0.6055430685633393	0.5629105240110932	0.14729838168558673	38
E_full_combat	combination	0.8216774205640758	0.8216774205640758		1
A_genes_only	combination	0.5375027529040209	0.5375027529040209		1
B_genes_ssgsea	combination	0.5245980760129515	0.5245980760129515		1
D_genes_ssgsea_progeny	combination	0.5245980760129515	0.5245980760129515		1
A_genes_only	parp	0.6444467410775803	0.6444467410775803		1
B_genes_ssgsea	parp	0.6022116577097975	0.6022116577097975		1
D_genes_ssgsea_progeny	parp	0.6022116577097975	0.6022116577097975		1
E_full_combat	parp	0.5411154747140692	0.5411154747140692		1
