feature,importance
ecfp_666,20
ecfp_532,20
ecfp_331,17
ecfp_46,16
ecfp_672,15
ecfp_377,14
ecfp_130,14
ecfp_571,14
ecfp_849,14
ecfp_940,12
ecfp_847,12
ecfp_283,11
ecfp_694,11
ecfp_585,10
ecfp_72,10
ecfp_11,10
ecfp_297,10
ecfp_787,9
ecfp_494,9
ecfp_177,8
ecfp_721,8
ecfp_640,8
ecfp_656,7
ecfp_561,7
ecfp_937,7
ecfp_966,7
ecfp_493,7
ecfp_435,7
ecfp_635,7
ecfp_32,6
ecfp_433,6
ecfp_45,6
ecfp_232,6
ecfp_117,5
ecfp_39,5
ecfp_191,5
ecfp_309,5
ecfp_1018,5
ecfp_875,5
ecfp_801,5
ecfp_766,5
ecfp_720,5
ecfp_555,5
ecfp_323,5
ecfp_461,5
ecfp_429,5
ecfp_387,5
ecfp_541,4
ecfp_647,4
ecfp_739,4
