dataset,n,auc,n_genes
GSE104645,126,0.36288265306122447,962
GSE104958,46,0.6887254901960784,972
GSE109211,140,0.3112244897959184,946
GSE131978,37,0.49415204678362573,964
GSE14615,20,0.33333333333333326,964
GSE14671,59,0.4281842818428185,964
GSE173263,39,0.6862068965517242,954
GSE19293,52,0.5788690476190477,964
GSE20181,154,0.4276859504132231,964
GSE20194,278,0.9044401544401545,964
GSE20271,178,0.7239372469635629,964
GSE21974,57,0.5612535612535612,962
GSE22093,97,0.7365424430641823,964
GSE23988,61,0.9585365853658536,964
GSE25066,488,0.8871231596167328,964
GSE28702,83,0.5714285714285714,964
GSE32646,115,0.7651515151515151,964
GSE35640,56,0.48930481283422467,964
GSE37946,50,0.7407407407407407,964
GSE41998,206,0.5572139303482587,964
GSE44272,53,0.4746031746031746,954
GSE4779,102,1.0,938
GSE48905,39,0.4527777777777778,964
GSE50948,156,0.4773768089393662,964
GSE5122,57,0.7452830188679245,964
GSE62321,57,0.5285359801488834,287
GSE63885,68,0.20000000000000004,964
GSE65021,40,0.6021505376344086,946
GSE66999,76,0.4452380952380952,962
GSE6861,161,0.8566188197767146,938
GSE68871,118,0.5247913598429063,964
GSE72970,124,0.5683060109289617,964
GSE73578,63,0.2967391304347826,964
GSE76360,96,0.39949494949494946,889
GSE82172,152,0.4238458742275536,955
GSE8970,26,0.47928994082840237,964
brightness,482,0.5622846906435166,963
ispy2,988,0.5068998317799926,971
