config	dataset_id	n_test	n_test_pos	auc
leaked_all_labels	BrighTNess	482	236	0.5683133526250517
leaked_all_labels	GSE104645	126	112	0.9732142857142857
leaked_all_labels	GSE104958	46	12	0.7205882352941176
leaked_all_labels	GSE109211	140	42	0.9900388726919339
leaked_all_labels	GSE131978	37	18	1.0
leaked_all_labels	GSE14615	20	6	0.33333333333333326
leaked_all_labels	GSE14671	59	41	0.5447154471544715
leaked_all_labels	GSE173263	39	29	0.610344827586207
leaked_all_labels	GSE19293	52	24	0.4970238095238094
leaked_all_labels	GSE20181	154	110	1.0
leaked_all_labels	GSE20194	278	56	1.0
leaked_all_labels	GSE20271	178	26	1.0
leaked_all_labels	GSE21974	57	18	0.9772079772079771
leaked_all_labels	GSE22093	97	28	1.0
leaked_all_labels	GSE23988	61	20	0.9768292682926829
leaked_all_labels	GSE25066	488	99	0.9997922671444522
leaked_all_labels	GSE28702	83	42	0.4465737514518003
leaked_all_labels	GSE32646	115	27	0.6262626262626262
leaked_all_labels	GSE35640	56	22	0.6042780748663101
leaked_all_labels	GSE37946	50	27	1.0
leaked_all_labels	GSE41998	206	201	0.02388059701492537
leaked_all_labels	GSE44272	53	35	0.9873015873015872
leaked_all_labels	GSE4779	102	39	0.9995929995929996
leaked_all_labels	GSE48905	39	15	0.6333333333333333
leaked_all_labels	GSE50948	156	53	0.4596079868107712
leaked_all_labels	GSE5122	57	4	1.0
leaked_all_labels	GSE61676	86	46	1.0
leaked_all_labels	GSE62321	57	26	0.37841191066997515
leaked_all_labels	GSE63885	68	65	0.5641025641025641
leaked_all_labels	GSE65021	40	31	1.0
leaked_all_labels	GSE66999	76	70	0.9928571428571429
leaked_all_labels	GSE6861	161	66	0.9995215311004785
leaked_all_labels	GSE68871	118	97	0.5351006381934217
leaked_all_labels	GSE72970	124	63	0.5131407754358573
leaked_all_labels	GSE73578	63	40	0.4565217391304348
leaked_all_labels	GSE76360	96	66	0.992929292929293
leaked_all_labels	GSE82172	152	21	0.4961832061068702
leaked_all_labels	GSE8970	26	13	1.0
leaked_all_labels	GSE9782	312	180	1.0
leaked_all_labels	ISPY2	988	319	0.7926020683095061
supervised_mean_impute	BrighTNess	482	236	0.5663841807909604
supervised_mean_impute	GSE104645	126	112	0.45408163265306123
supervised_mean_impute	GSE104958	46	12	0.4387254901960785
supervised_mean_impute	GSE109211	140	42	0.7453838678328474
supervised_mean_impute	GSE131978	37	18	0.40935672514619886
supervised_mean_impute	GSE14615	20	6	0.33333333333333337
supervised_mean_impute	GSE14671	59	41	0.497289972899729
supervised_mean_impute	GSE173263	39	29	0.6586206896551724
supervised_mean_impute	GSE19293	52	24	0.5669642857142858
supervised_mean_impute	GSE20181	154	110	0.34793388429752065
supervised_mean_impute	GSE20194	278	56	0.6025579150579151
supervised_mean_impute	GSE20271	178	26	0.5407388663967612
supervised_mean_impute	GSE21974	57	18	0.5470085470085471
supervised_mean_impute	GSE22093	97	28	0.6651138716356108
supervised_mean_impute	GSE23988	61	20	0.6695121951219513
supervised_mean_impute	GSE25066	488	99	0.6398431616940614
supervised_mean_impute	GSE28702	83	42	0.4483159117305459
supervised_mean_impute	GSE32646	115	27	0.5315656565656566
supervised_mean_impute	GSE35640	56	22	0.6042780748663101
supervised_mean_impute	GSE37946	50	27	0.7520128824476651
supervised_mean_impute	GSE41998	206	201	0.718407960199005
supervised_mean_impute	GSE44272	53	35	0.4523809523809524
supervised_mean_impute	GSE4779	102	39	0.6764346764346765
supervised_mean_impute	GSE48905	39	15	0.625
supervised_mean_impute	GSE50948	156	53	0.4746290529400989
supervised_mean_impute	GSE5122	57	4	0.6933962264150944
supervised_mean_impute	GSE61676	86	46	0.5
supervised_mean_impute	GSE62321	57	26	0.4404466501240694
supervised_mean_impute	GSE63885	68	65	0.49743589743589745
supervised_mean_impute	GSE65021	40	31	0.5268817204301075
supervised_mean_impute	GSE66999	76	70	0.7142857142857144
supervised_mean_impute	GSE6861	161	66	0.7001594896331738
supervised_mean_impute	GSE68871	118	97	0.551791850760923
supervised_mean_impute	GSE72970	124	63	0.5308352849336456
supervised_mean_impute	GSE73578	63	40	0.5554347826086957
supervised_mean_impute	GSE76360	96	66	0.6222222222222223
supervised_mean_impute	GSE82172	152	21	0.48418756815703373
supervised_mean_impute	GSE8970	26	13	0.8402366863905326
supervised_mean_impute	GSE9782	312	180	0.4954545454545455
supervised_mean_impute	ISPY2	988	319	0.5212008753063337
supervised_two_step	BrighTNess	482	236	0.5459211795507786
supervised_two_step	GSE104645	126	112	0.49043367346938777
supervised_two_step	GSE104958	46	12	0.2720588235294118
supervised_two_step	GSE109211	140	42	0.706754130223518
supervised_two_step	GSE131978	37	18	0.5847953216374269
supervised_two_step	GSE14615	20	6	0.35714285714285715
supervised_two_step	GSE14671	59	41	0.5352303523035231
supervised_two_step	GSE173263	39	29	0.689655172413793
supervised_two_step	GSE19293	52	24	0.5833333333333334
supervised_two_step	GSE20181	154	110	0.4268595041322314
supervised_two_step	GSE20194	278	56	0.6158301158301159
supervised_two_step	GSE20271	178	26	0.6169028340080971
supervised_two_step	GSE21974	57	18	0.5470085470085471
supervised_two_step	GSE22093	97	28	0.6330227743271222
