pam50_subtype,n_patients,new_mean,new_std,new_median
Basal,142,0.2563,0.2331,0.1782
Her2,67,0.2604,0.2538,0.2067
LumA,434,0.0316,0.0711,0.0087
LumB,194,0.0497,0.1108,0.0156
Normal,119,0.2171,0.1817,0.1655
