feature,importance
ORC1,146
CCND1,144
PTGS2,129
ER_status,117
PSMB10,116
CHN1,114
HER2_status,103
SOX2,95
TSPAN4,94
HOXA10,90
PSMG1,87
FOXJ3,87
INSIG1,87
CASP3,84
KDM3A,82
SLC25A4,82
HERPUD1,82
SATB1,82
DDX42,81
MAPK13,80
HMGA2,80
EIF4EBP1,78
TCEAL4,78
CRELD2,77
CYB561,76
TPD52L2,76
CYTH1,75
UTP14A,75
UBE3B,75
NCK2,74
CEBPD,74
IFNAR1,73
ETFB,73
FBXO7,73
RPP38,72
TCFL5,72
CISD1,72
CCL2,71
LSM6,70
FOXO4,70
FOXO3,69
CTNND1,69
HLA-DRA,68
PHKA1,68
CCNE2,67
KAT6A,67
SNAP25,67
HSPB1,67
RBM34,67
KDM5B,66
ADCK3,66
ABCB6,66
BID,66
FOS,65
BMP4,65
TIMM22,65
FZD1,64
PPIE,64
ICAM3,64
PUF60,64
KLHL9,64
FRS2,64
MLLT11,64
RTN2,64
ZDHHC6,64
PMM2,63
SYK,63
SNX6,63
RPA2,63
BHLHE40,63
RNPS1,63
MIF,62
DAXX,62
NOTCH1,62
CCP110,62
PPP2R5A,62
AARS,62
ACAA1,62
IGF1R,61
HOXA5,61
KIAA0355,61
PNKP,61
NFKBIE,61
FDFT1,60
BAMBI,60
USP1,60
MAPK1IP1L,60
CDC45,60
PPP1R13B,60
GSTM2,60
SPAG4,60
KDELR2,59
CCNA1,59
BECN1,58
CAMSAP2,58
SIRT3,58
MSRA,58
LYPLA1,57
CCNF,57
OXCT1,57
ACLY,57
JMJD6,57
MOK,57
TFDP1,56
LOXL1,56
MRPS16,56
CLTC,56
LBR,56
ZNF586,56
RRP8,56
IGHMBP2,56
GMNN,55
RPS6,55
GFOD1,55
TXLNA,55
CDKN1B,55
DHX29,55
METRN,55
CDC20,55
LAMA3,55
RFX5,54
CERK,54
HEBP1,54
COG4,54
IGF2R,54
SLC25A14,54
PCK2,54
POLE2,54
PLA2G4A,54
SCYL3,53
STX4,53
ABCC5,53
SLC35F2,53
MBNL1,53
CEP57,53
KTN1,53
NOS3,52
HES1,52
TSPAN3,52
MBOAT7,52
ETS1,52
VAT1,52
MRPL19,52
CDC42,52
WASF3,52
CCDC86,52
CDK5R1,52
USP22,51
AKT1,51
APP,51
PRAF2,51
CHERP,51
PIN1,51
BAG3,51
CAST,51
TJP1,51
TOMM70A,51
PMAIP1,51
TP53,51
KIF5C,50
GNPDA1,50
ZW10,50
EPRS,50
PRR15L,50
MLEC,50
CAPN1,50
MUC1,50
MYC,50
GADD45B,50
NET1,50
NPRL2,50
CAT,50
FBXO11,50
HN1L,49
DYNLT3,49
SMARCC1,49
HOMER2,49
LAGE3,49
CHMP6,49
DNTTIP2,48
SH3BP5,48
TFAP2A,48
COL1A1,48
TM9SF3,48
HDAC6,48
PSMD9,48
GRB7,47
CSNK1E,47
RBM6,47
NENF,47
TIMM9,47
NCK1,47
SMC1A,47
PAK1,47
RRS1,47
RAI14,47
CLPX,47
LRRC16A,46
SMNDC1,46
ZNF274,46
SORBS3,46
FHL2,46
PDGFA,46
TSPAN6,46
TRIM13,46
CXCL2,46
EPHA3,46
ICMT,46
HS2ST1,46
ANO10,46
LRPAP1,46
ECH1,45
SMC3,45
PRKAG2,45
NVL,45
DYRK3,45
PAK4,45
FGFR4,45
PIP4K2B,45
PHKG2,45
FASTKD5,45
FAIM,45
GABPB1,45
IL1B,45
CDK19,45
GATA3,45
SPDEF,45
KIT,45
COG7,45
TRIB1,45
DDX10,45
SQRDL,45
SUV39H1,45
MELK,45
HADH,45
SNCA,45
IQGAP1,45
CDK1,45
MAPKAPK2,44
GLI2,44
MAMLD1,44
SUPV3L1,44
TNIP1,44
RPA3,44
ITGAE,44
PGM1,44
MAPKAPK3,44
COPS7A,44
CDKN2A,44
DECR1,44
CD58,44
ABL1,44
DNAJA3,44
RFNG,43
MBNL2,43
TRAP1,43
FAM63A,43
IGF2BP2,43
KIAA0196,43
DUSP11,43
COPB2,43
CHEK2,43
ITGB5,43
DNAJB2,43
PLK1,43
ARPP19,43
PRKCH,42
KIAA0907,42
BLVRA,42
CTTN,42
DCTD,42
TSKU,42
RAB11FIP2,42
OXSR1,42
PTPRC,42
XPNPEP1,42
VAV3,42
PARP2,42
PRPF4,42
SYNGR3,42
KIAA1033,42
NIPSNAP1,42
ATF5,42
ALDH7A1,42
CEBPA,42
ZMYM2,42
SLC1A4,42
TMEM110,42
MCM3,42
PXMP2,41
FZD7,41
ACD,41
GNB5,41
EPN2,41
PTPRK,41
MMP1,41
ARL4C,41
ERBB3,41
HLA-DMA,41
THAP11,41
KAT6B,41
CSRP1,41
MYBL2,41
RALGDS,41
STK10,41
JUN,40
PIK3R4,40
LPGAT1,40
PLSCR1,40
HERC6,40
MCOLN1,40
HDGFRP3,40
HEATR1,40
NUDT9,40
CSNK2A2,40
ADAM10,40
TIAM1,40
TXNL4B,40
ADH5,40
ECD,40
PCNA,40
ABHD4,40
SHB,40
PRKCQ,40
SENP6,40
EXT1,40
RUVBL1,39
RAD51C,39
DUSP14,39
DCK,39
ANKRD10,39
TXNRD1,39
RFC2,39
IKBKAP,39
SCARB1,39
S100A4,39
MEST,39
