config	holdout	holdout_drug	production_candidate	n_features	threshold_used	n_pos	n_neg	auroc	auprc	mcc	bal_acc
baseline_rank_singscore_reo	BrighTNess	veliparib+carboplatin+paclitaxel	True	967	0.5	236	246	0.614561802397685	0.5911721991053135	0.15681712057107686	0.5767190299021634
baseline_rank_singscore_reo	GSE104645	fluorouracil+leucovorin+oxaliplatin	True	967	0.49	112	14	0.5561224489795918	0.9029317984145435	0.07332681568382188	0.5491071428571428
baseline_rank_singscore_reo	GSE104958	cisplatin+docetaxel+fluorouracil	True	967	0.52	12	34	0.5980392156862745	0.38508102395533494	0.1312027377406012	0.5637254901960784
baseline_rank_singscore_reo	GSE109211	sorafenib	True	967	0.52	42	98	0.5609815354713313	0.3158492785037231	-0.03888334004780655	0.48129251700680276
baseline_rank_singscore_reo	GSE131978	platinum_chemotherapy	True	967	0.51	18	19	0.5233918128654971	0.5844276321300825	-0.07917922609625103	0.4605263157894737
baseline_rank_singscore_reo	GSE14615	doxorubicin+mercaptopurine+methotrexate+prednisone+vincristine	True	967	0.5	6	14	0.4285714285714286	0.28828018386841914	-0.0890870806374748	0.45238095238095233
baseline_rank_singscore_reo	GSE14671	imatinib	True	967	0.52	41	18	0.5149051490514904	0.7383434099752859	-0.035821177688089054	0.4830623306233062
baseline_rank_singscore_reo	GSE173263	rituximab+cyclophosphamide+doxorubicin+vincristine+prednisolone	True	967	0.53	29	10	0.6551724137931034	0.8824740674385363	0.41522739926869984	0.7241379310344828
baseline_rank_singscore_reo	GSE19293	melphalan	True	967	0.51	24	28	0.4955357142857143	0.4858228906181719	-0.02494937295217066	0.48809523809523814
baseline_rank_singscore_reo	GSE20181	letrozole	True	967	0.5	110	44	0.24855371900826445	0.5978755711168954	-0.32775292133798123	0.35454545454545455
baseline_rank_singscore_reo	GSE20194	cyclophosphamide+doxorubicin+fluorouracil+paclitaxel	True	967	0.51	56	222	0.9621138996138996	0.899307295996068	0.7405179468566779	0.8369530244530244
