holdout	holdout_drug	baseline_auroc	drug_aware_auroc	delta
GSE63885	platinum_chemotherapy	0.18461538461538463	0.3897435897435898	0.20512820512820518
GSE41998	cyclophosphamide+doxorubicin+ixabepilone	0.46169154228855724	0.5800995024875621	0.1184079601990049
GSE20181	letrozole	0.24855371900826445	0.3621900826446281	0.11363636363636365
GSE50948	doxorubicin+paclitaxel+cyclophosphamide+fluorouracil+methotrexate+trastuzumab	0.445136471881297	0.5453379739879098	0.10020150210661283
GSE19293	melphalan	0.4955357142857143	0.5758928571428572	0.0803571428571429
GSE44272	trastuzumab	0.38253968253968257	0.46031746031746035	0.07777777777777778
GSE14671	imatinib	0.5149051490514904	0.589430894308943	0.07452574525745259
GSE68871	bortezomib+thalidomide+dexamethasone	0.6431026018654885	0.7034855179185077	0.06038291605301915
GSE73578	glucocorticoids	0.5097826086956522	0.5652173913043478	0.05543478260869561
GSE104958	cisplatin+docetaxel+fluorouracil	0.5980392156862745	0.6372549019607843	0.039215686274509776
GSE22093	taxane+anthracycline	0.722567287784679	0.7613871635610765	0.03881987577639745
GSE20271	cyclophosphamide+doxorubicin+fluorouracil	0.7727732793522267	0.8049089068825911	0.032135627530364363
GSE37946	trastuzumab+chemotherapy	0.6489533011272142	0.679549114331723	0.03059581320450888
GSE32646	cyclophosphamide+epirubicin+fluorouracil+paclitaxel	0.648989898989899	0.6746632996632996	0.025673400673400626
GSE8970	tipifarnib	0.5798816568047338	0.6035502958579883	0.023668639053254448
GSE6861	cyclophosphamide+epirubicin+fluorouracil	0.8545454545454547	0.8770334928229666	0.02248803827751189
GSE62321	chemotherapy	0.3945409429280397	0.41439205955334985	0.01985111662531014
GSE65021	cetuximab+platinum	0.6845878136200717	0.7025089605734767	0.017921146953404965
ISPY2	docetaxel+doxorubicin+cyclophosphamide	0.5084414580316853	0.5216225967733622	0.013181138741676923
GSE66999	docetaxel+epirubicin+pegfilgrastim	0.4928571428571429	0.5	0.0071428571428571175
GSE61676	unknown	0.5	0.5	0.0
BrighTNess	veliparib+carboplatin+paclitaxel	0.614561802397685	0.6128737770428552	-0.001688025354829814
GSE4779	cyclophosphamide+epirubicin+fluorouracil	0.9922669922669922	0.9845339845339846	-0.0077330077330076685
GSE25066	anthracycline+taxane	0.8921087481498793	0.8811768066266781	-0.010931941523201205
GSE14615	doxorubicin+mercaptopurine+methotrexate+prednisone+vincristine	0.4285714285714286	0.4166666666666667	-0.011904761904761918
GSE104645	fluorouracil+leucovorin+oxaliplatin	0.5561224489795918	0.5401785714285714	-0.015943877551020447
GSE9782	unknown	0.48215488215488217	0.45709175084175085	-0.025063131313131315
GSE72970	chemotherapy+targeted	0.5050741608118657	0.4772313296903461	-0.02784283112151964
GSE23988	docetaxel	0.9804878048780488	0.948780487804878	-0.03170731707317076
GSE20194	cyclophosphamide+doxorubicin+fluorouracil+paclitaxel	0.9621138996138996	0.9284105534105533	-0.03370334620334625
GSE131978	platinum_chemotherapy	0.5233918128654971	0.47368421052631576	-0.04970760233918131
GSE35640	immunotherapy_peptide_vaccine	0.6002673796791443	0.5441176470588236	-0.05614973262032075
GSE76360	trastuzumab	0.6	0.5419191919191919	-0.058080808080808066
GSE82172	tamoxifen	0.4641948382406398	0.39731006906579425	-0.06688476917484554
GSE21974	docetaxel	0.6595441595441596	0.5911680911680911	-0.06837606837606847
GSE48905	tamoxifen	0.538888888888889	0.4666666666666667	-0.0722222222222223
GSE5122	tipifarnib	0.9433962264150944	0.8632075471698114	-0.08018867924528295
GSE109211	sorafenib	0.5609815354713313	0.4577259475218659	-0.10325558794946543
GSE173263	rituximab+cyclophosphamide+doxorubicin+vincristine+prednisolone	0.6551724137931034	0.5448275862068965	-0.1103448275862069
GSE28702	fluorouracil+leucovorin+oxaliplatin	0.5580720092915215	0.4001161440185831	-0.15795586527293837
