dataset_id	n_patients	n_responders	n_nonresponders	response_rate	n_genes_available	treatment_class
ISPY2	988	319	669	0.323	19134	combination
GSE25066	488	99	389	0.203	13237	chemo
BrighTNess	482	236	246	0.49	24613	parp
GSE9782	312	180	132	0.577	102	chemo
GSE20194	278	56	222	0.201	13237	chemo
GSE41998	206	201	5	0.976	13237	chemo
GSE20271	178	26	152	0.146	13237	chemo
GSE6861	161	66	95	0.41	20295	chemo
GSE50948	156	53	103	0.34	22880	chemo
GSE20181	154	110	44	0.714	13237	chemo
GSE82172	152	21	131	0.138	20277	chemo
GSE109211	140	42	98	0.3	20727	chemo
GSE104645	126	112	14	0.889	19595	chemo
GSE72970	124	63	61	0.508	22880	chemo
GSE68871	118	97	21	0.822	22880	chemo
GSE32646	115	27	88	0.235	22880	chemo
GSE4779	102	39	63	0.382	20295	chemo
GSE22093	97	28	69	0.289	13237	chemo
GSE76360	96	66	30	0.688	23684	chemo
GSE61676	86	46	40	0.535	47254	chemo
GSE28702	83	42	41	0.506	22880	chemo
GSE66999	76	70	6	0.921	19595	chemo
GSE63885	68	65	3	0.956	22880	chemo
GSE73578	63	40	23	0.635	22880	chemo
GSE23988	61	20	41	0.328	13237	chemo
GSE14671	59	41	18	0.695	22880	chemo
GSE62321	57	26	31	0.456	11198	chemo
GSE21974	57	18	39	0.316	19595	chemo
GSE5122	57	4	53	0.07	13237	chemo
GSE35640	56	22	34	0.393	22880	chemo
GSE44272	53	35	18	0.66	19468	chemo
GSE19293	52	24	28	0.462	22880	chemo
GSE37946	50	27	23	0.54	13237	chemo
GSE104958	46	12	34	0.261	34729	chemo
GSE65021	40	31	9	0.775	20819	chemo
GSE173263	39	29	10	0.744	19468	chemo
GSE48905	39	15	24	0.385	22880	chemo
GSE131978	37	18	19	0.486	13237	chemo
GSE8970	26	13	13	0.5	13237	chemo
GSE14615	20	6	14	0.3	22880	chemo
