dataset_id	212g_leaked_combat_no_labels	212g_leaked_combat_with_labels	212g_quantile	954g_leaked_combat_no_labels	954g_leaked_combat_with_labels	954g_quantile	n_patients	n_responders	n_nonresponders	response_rate	n_genes_available	treatment_class
ISPY2	0.5203855471367455	0.7858966969837545	0.5156903814704958	0.5299258238797437	0.5117027707100383	0.5142190421299746	988	319	669	0.323	19134	combination
GSE25066	0.8758536522032665	0.9996624341097349	0.8597283892913713	0.8910441172651969	0.8775155150476487	0.8788657786087091	488	99	389	0.203	13237	chemo
BrighTNess	0.6156986357999172	0.5578407055256993	0.6184373708143861	0.5855381011437233	0.5826098938955491	0.6012815212897891	482	236	246	0.49	24613	parp
GSE9782	0.48836279461279464	1.0	0.4826599326599327	0.49419191919191924	0.9999999999999999	0.5213383838383838	312	180	132	0.577	102	chemo
GSE20194	0.8852960102960102	1.0	0.9029118404118404	0.91489703989704	0.9161036036036037	0.9370978120978121	278	56	222	0.201	13237	chemo
GSE41998	0.8169154228855722	0.012935323383084577	0.5034825870646766	0.6	0.6696517412935324	0.6805970149253732	206	201	5	0.976	13237	chemo
GSE20271	0.7335526315789473	1.0	0.7348178137651821	0.7241902834008097	0.7649291497975709	0.7593623481781377	178	26	152	0.146	13237	chemo
GSE6861	0.8253588516746411	1.0	0.8666666666666667	0.8625199362041467	1.0	0.8728867623604465	161	66	95	0.41	20295	chemo
GSE50948	0.5024729803993406	0.4455028393478659	0.5374610734566772	0.49477926360139224	0.5284850705257373	0.5570617329181169	156	53	103	0.34	22880	chemo
GSE20181	0.3958677685950413	1.0	0.28760330578512394	0.4159090909090909	0.39793388429752063	0.331198347107438	154	110	44	0.714	13237	chemo
GSE82172	0.4849145765176299	0.4820065430752453	0.5259905488913122	0.4921846601235914	1.0	0.3718647764449291	152	21	131	0.138	20277	chemo
GSE109211	0.6598639455782312	0.9897959183673469	0.6766277939747327	0.423955296404276	1.0	0.6712827988338192	140	42	98	0.3	20727	chemo
GSE104645	0.4961734693877551	0.9732142857142858	0.451530612244898	0.4164540816326531	0.5293367346938775	0.5650510204081632	126	112	14	0.889	19595	chemo
GSE72970	0.5157429091855321	0.5079365079365079	0.46370023419203743	0.56128024980484	0.5797553994275305	0.5063752276867031	124	63	61	0.508	22880	chemo
GSE68871	0.5090819833087874	0.5567010309278351	0.514972999509082	0.5257731958762887	0.5660284732449681	0.6602847324496809	118	97	21	0.822	22880	chemo
GSE32646	0.6994949494949495	0.6102693602693603	0.7053872053872053	0.7344276094276094	0.7908249158249158	0.6527777777777777	115	27	88	0.235	22880	chemo
GSE4779	0.9857549857549858	0.9995929995929996	0.9735449735449736	0.9987789987789988	1.0	0.9898249898249898	102	39	63	0.382	20295	chemo
GSE22093	0.5869565217391304	1.0	0.6594202898550725	0.7080745341614907	0.6946169772256728	0.7241200828157349	97	28	69	0.289	13237	chemo
GSE76360	0.6217171717171717	0.9969696969696971	0.494949494949495	0.47979797979797983	1.0	0.5141414141414142	96	66	30	0.688	23684	chemo
GSE61676	0.5	1.0	0.5	0.5	1.0	0.5	86	46	40	0.535	47254	chemo
GSE28702	0.4419279907084785	0.4250871080139373	0.5865272938443671	0.5389082462253194	0.6091753774680604	0.5563298490127759	83	42	41	0.506	22880	chemo
GSE66999	0.5333333333333333	0.9904761904761905	0.5738095238095238	0.5023809523809524	0.3261904761904762	0.5714285714285714	76	70	6	0.921	19595	chemo
GSE63885	0.27692307692307694	0.49743589743589745	0.46153846153846156	0.19487179487179487	0.38461538461538464	0.3897435897435898	68	65	3	0.956	22880	chemo
GSE73578	0.6380434782608695	0.4641304347826086	0.7119565217391305	0.22608695652173913	0.3934782608695652	0.5826086956521739	63	40	23	0.635	22880	chemo
GSE23988	0.9536585365853658	0.9817073170731707	0.9158536585365854	0.9817073170731707	0.9804878048780488	0.9841463414634146	61	20	41	0.328	13237	chemo
GSE14671	0.5433604336043361	0.5284552845528455	0.5420054200542005	0.5176151761517616	0.4566395663956639	0.5325203252032521	59	41	18	0.695	22880	chemo
GSE62321	0.6364764267990074	0.3002481389578164	0.4379652605459056	0.37965260545905705	0.07568238213399503	0.44292803970223327	57	26	31	0.456	11198	chemo
GSE21974	0.6695156695156695	0.9843304843304843	0.6524216524216524	0.6310541310541311	0.5598290598290598	0.6666666666666666	57	18	39	0.316	19595	chemo
