config	dataset_id	n_test	n_test_pos	auc
212g_leaked_combat_with_labels	BrighTNess	482	236	0.5578407055256993
212g_leaked_combat_with_labels	GSE104645	126	112	0.9732142857142858
212g_leaked_combat_with_labels	GSE104958	46	12	0.7303921568627451
212g_leaked_combat_with_labels	GSE109211	140	42	0.9897959183673469
212g_leaked_combat_with_labels	GSE131978	37	18	1.0
212g_leaked_combat_with_labels	GSE14615	20	6	0.38095238095238093
212g_leaked_combat_with_labels	GSE14671	59	41	0.5284552845528455
212g_leaked_combat_with_labels	GSE173263	39	29	0.6586206896551724
212g_leaked_combat_with_labels	GSE19293	52	24	0.49553571428571436
212g_leaked_combat_with_labels	GSE20181	154	110	1.0
212g_leaked_combat_with_labels	GSE20194	278	56	1.0
212g_leaked_combat_with_labels	GSE20271	178	26	1.0
212g_leaked_combat_with_labels	GSE21974	57	18	0.9843304843304843
212g_leaked_combat_with_labels	GSE22093	97	28	1.0
212g_leaked_combat_with_labels	GSE23988	61	20	0.9817073170731707
212g_leaked_combat_with_labels	GSE25066	488	99	0.9996624341097349
212g_leaked_combat_with_labels	GSE28702	83	42	0.4250871080139373
212g_leaked_combat_with_labels	GSE32646	115	27	0.6102693602693603
212g_leaked_combat_with_labels	GSE35640	56	22	0.5788770053475936
212g_leaked_combat_with_labels	GSE37946	50	27	1.0
212g_leaked_combat_with_labels	GSE41998	206	201	0.012935323383084577
212g_leaked_combat_with_labels	GSE44272	53	35	0.9873015873015873
212g_leaked_combat_with_labels	GSE4779	102	39	0.9995929995929996
212g_leaked_combat_with_labels	GSE48905	39	15	0.6
212g_leaked_combat_with_labels	GSE50948	156	53	0.4455028393478659
212g_leaked_combat_with_labels	GSE5122	57	4	1.0
212g_leaked_combat_with_labels	GSE61676	86	46	1.0
212g_leaked_combat_with_labels	GSE62321	57	26	0.3002481389578164
212g_leaked_combat_with_labels	GSE63885	68	65	0.49743589743589745
212g_leaked_combat_with_labels	GSE65021	40	31	1.0
212g_leaked_combat_with_labels	GSE66999	76	70	0.9904761904761905
212g_leaked_combat_with_labels	GSE6861	161	66	1.0
212g_leaked_combat_with_labels	GSE68871	118	97	0.5567010309278351
212g_leaked_combat_with_labels	GSE72970	124	63	0.5079365079365079
212g_leaked_combat_with_labels	GSE73578	63	40	0.4641304347826086
212g_leaked_combat_with_labels	GSE76360	96	66	0.9969696969696971
212g_leaked_combat_with_labels	GSE82172	152	21	0.4820065430752453
212g_leaked_combat_with_labels	GSE8970	26	13	1.0
212g_leaked_combat_with_labels	GSE9782	312	180	1.0
212g_leaked_combat_with_labels	ISPY2	988	319	0.7858966969837545
212g_leaked_combat_no_labels	BrighTNess	482	236	0.6156986357999172
212g_leaked_combat_no_labels	GSE104645	126	112	0.4961734693877551
212g_leaked_combat_no_labels	GSE104958	46	12	0.5931372549019608
212g_leaked_combat_no_labels	GSE109211	140	42	0.6598639455782312
212g_leaked_combat_no_labels	GSE131978	37	18	0.5087719298245614
212g_leaked_combat_no_labels	GSE14615	20	6	0.26190476190476186
212g_leaked_combat_no_labels	GSE14671	59	41	0.5433604336043361
212g_leaked_combat_no_labels	GSE173263	39	29	0.42068965517241375
212g_leaked_combat_no_labels	GSE19293	52	24	0.6458333333333333
212g_leaked_combat_no_labels	GSE20181	154	110	0.3958677685950413
212g_leaked_combat_no_labels	GSE20194	278	56	0.8852960102960102
212g_leaked_combat_no_labels	GSE20271	178	26	0.7335526315789473
212g_leaked_combat_no_labels	GSE21974	57	18	0.6695156695156695
212g_leaked_combat_no_labels	GSE22093	97	28	0.5869565217391304
212g_leaked_combat_no_labels	GSE23988	61	20	0.9536585365853658
212g_leaked_combat_no_labels	GSE25066	488	99	0.8758536522032665
212g_leaked_combat_no_labels	GSE28702	83	42	0.4419279907084785
212g_leaked_combat_no_labels	GSE32646	115	27	0.6994949494949495
212g_leaked_combat_no_labels	GSE35640	56	22	0.5360962566844919
212g_leaked_combat_no_labels	GSE37946	50	27	0.7809983896940419
212g_leaked_combat_no_labels	GSE41998	206	201	0.8169154228855722
212g_leaked_combat_no_labels	GSE44272	53	35	0.5349206349206349
212g_leaked_combat_no_labels	GSE4779	102	39	0.9857549857549858
212g_leaked_combat_no_labels	GSE48905	39	15	0.33611111111111114
212g_leaked_combat_no_labels	GSE50948	156	53	0.5024729803993406
212g_leaked_combat_no_labels	GSE5122	57	4	0.6367924528301887
212g_leaked_combat_no_labels	GSE61676	86	46	0.5
212g_leaked_combat_no_labels	GSE62321	57	26	0.6364764267990074
212g_leaked_combat_no_labels	GSE63885	68	65	0.27692307692307694
212g_leaked_combat_no_labels	GSE65021	40	31	0.5197132616487455
212g_leaked_combat_no_labels	GSE66999	76	70	0.5333333333333333
212g_leaked_combat_no_labels	GSE6861	161	66	0.8253588516746411
212g_leaked_combat_no_labels	GSE68871	118	97	0.5090819833087874
212g_leaked_combat_no_labels	GSE72970	124	63	0.5157429091855321
212g_leaked_combat_no_labels	GSE73578	63	40	0.6380434782608695
212g_leaked_combat_no_labels	GSE76360	96	66	0.6217171717171717
212g_leaked_combat_no_labels	GSE82172	152	21	0.4849145765176299
212g_leaked_combat_no_labels	GSE8970	26	13	0.5739644970414202
212g_leaked_combat_no_labels	GSE9782	312	180	0.48836279461279464
212g_leaked_combat_no_labels	ISPY2	988	319	0.5203855471367455
212g_quantile	BrighTNess	482	236	0.6184373708143861
212g_quantile	GSE104645	126	112	0.451530612244898
212g_quantile	GSE104958	46	12	0.6519607843137255
212g_quantile	GSE109211	140	42	0.6766277939747327
212g_quantile	GSE131978	37	18	0.5994152046783626
212g_quantile	GSE14615	20	6	0.23809523809523814
212g_quantile	GSE14671	59	41	0.5420054200542005
212g_quantile	GSE173263	39	29	0.4068965517241379
212g_quantile	GSE19293	52	24	0.6205357142857143
212g_quantile	GSE20181	154	110	0.28760330578512394
212g_quantile	GSE20194	278	56	0.9029118404118404
212g_quantile	GSE20271	178	26	0.7348178137651821
212g_quantile	GSE21974	57	18	0.6524216524216524
212g_quantile	GSE22093	97	28	0.6594202898550725
212g_quantile	GSE23988	61	20	0.9158536585365854
212g_quantile	GSE25066	488	99	0.8597283892913713
212g_quantile	GSE28702	83	42	0.5865272938443671
212g_quantile	GSE32646	115	27	0.7053872053872053
212g_quantile	GSE35640	56	22	0.553475935828877
212g_quantile	GSE37946	50	27	0.7697262479871175
212g_quantile	GSE41998	206	201	0.5034825870646766
212g_quantile	GSE44272	53	35	0.4047619047619048
212g_quantile	GSE4779	102	39	0.9735449735449736
212g_quantile	GSE48905	39	15	0.44722222222222224
212g_quantile	GSE50948	156	53	0.5374610734566772
212g_quantile	GSE5122	57	4	0.6179245283018868
212g_quantile	GSE61676	86	46	0.5
212g_quantile	GSE62321	57	26	0.4379652605459056
212g_quantile	GSE63885	68	65	0.46153846153846156
212g_quantile	GSE65021	40	31	0.5448028673835126
212g_quantile	GSE66999	76	70	0.5738095238095238
212g_quantile	GSE6861	161	66	0.8666666666666667
212g_quantile	GSE68871	118	97	0.514972999509082
212g_quantile	GSE72970	124	63	0.46370023419203743
212g_quantile	GSE73578	63	40	0.7119565217391305
212g_quantile	GSE76360	96	66	0.494949494949495
212g_quantile	GSE82172	152	21	0.5259905488913122
212g_quantile	GSE8970	26	13	0.727810650887574
212g_quantile	GSE9782	312	180	0.4826599326599327
212g_quantile	ISPY2	988	319	0.5156903814704958
954g_leaked_combat_with_labels	BrighTNess	482	236	0.5826098938955491
954g_leaked_combat_with_labels	GSE104645	126	112	0.5293367346938775
954g_leaked_combat_with_labels	GSE104958	46	12	0.6225490196078431
954g_leaked_combat_with_labels	GSE109211	140	42	1.0
954g_leaked_combat_with_labels	GSE131978	37	18	0.5087719298245614
954g_leaked_combat_with_labels	GSE14615	20	6	0.4047619047619047
954g_leaked_combat_with_labels	GSE14671	59	41	0.4566395663956639
954g_leaked_combat_with_labels	GSE173263	39	29	0.4827586206896552
954g_leaked_combat_with_labels	GSE19293	52	24	0.44642857142857145
954g_leaked_combat_with_labels	GSE20181	154	110	0.39793388429752063
954g_leaked_combat_with_labels	GSE20194	278	56	0.9161036036036037
954g_leaked_combat_with_labels	GSE20271	178	26	0.7649291497975709
954g_leaked_combat_with_labels	GSE21974	57	18	0.5598290598290598
954g_leaked_combat_with_labels	GSE22093	97	28	0.6946169772256728
954g_leaked_combat_with_labels	GSE23988	61	20	0.9804878048780488
954g_leaked_combat_with_labels	GSE25066	488	99	0.8775155150476487
954g_leaked_combat_with_labels	GSE28702	83	42	0.6091753774680604
954g_leaked_combat_with_labels	GSE32646	115	27	0.7908249158249158
954g_leaked_combat_with_labels	GSE35640	56	22	0.6363636363636364
954g_leaked_combat_with_labels	GSE37946	50	27	0.6972624798711755
954g_leaked_combat_with_labels	GSE41998	206	201	0.6696517412935324
954g_leaked_combat_with_labels	GSE44272	53	35	1.0
954g_leaked_combat_with_labels	GSE4779	102	39	1.0
954g_leaked_combat_with_labels	GSE48905	39	15	0.4611111111111111
954g_leaked_combat_with_labels	GSE50948	156	53	0.5284850705257373
954g_leaked_combat_with_labels	GSE5122	57	4	0.7688679245283019
954g_leaked_combat_with_labels	GSE61676	86	46	1.0
954g_leaked_combat_with_labels	GSE62321	57	26	0.07568238213399503
954g_leaked_combat_with_labels	GSE63885	68	65	0.38461538461538464
954g_leaked_combat_with_labels	GSE65021	40	31	1.0
954g_leaked_combat_with_labels	GSE66999	76	70	0.3261904761904762
954g_leaked_combat_with_labels	GSE6861	161	66	1.0
954g_leaked_combat_with_labels	GSE68871	118	97	0.5660284732449681
954g_leaked_combat_with_labels	GSE72970	124	63	0.5797553994275305
954g_leaked_combat_with_labels	GSE73578	63	40	0.3934782608695652
954g_leaked_combat_with_labels	GSE76360	96	66	1.0
954g_leaked_combat_with_labels	GSE82172	152	21	1.0
954g_leaked_combat_with_labels	GSE8970	26	13	0.41420118343195267
954g_leaked_combat_with_labels	GSE9782	312	180	0.9999999999999999
954g_leaked_combat_with_labels	ISPY2	988	319	0.5117027707100383
954g_leaked_combat_no_labels	BrighTNess	482	236	0.5855381011437233
954g_leaked_combat_no_labels	GSE104645	126	112	0.4164540816326531
954g_leaked_combat_no_labels	GSE104958	46	12	0.6421568627450981
954g_leaked_combat_no_labels	GSE109211	140	42	0.423955296404276
954g_leaked_combat_no_labels	GSE131978	37	18	0.4590643274853801
954g_leaked_combat_no_labels	GSE14615	20	6	0.34523809523809523
954g_leaked_combat_no_labels	GSE14671	59	41	0.5176151761517616
954g_leaked_combat_no_labels	GSE173263	39	29	0.6413793103448275
954g_leaked_combat_no_labels	GSE19293	52	24	0.4375
954g_leaked_combat_no_labels	GSE20181	154	110	0.4159090909090909
954g_leaked_combat_no_labels	GSE20194	278	56	0.91489703989704
954g_leaked_combat_no_labels	GSE20271	178	26	0.7241902834008097
954g_leaked_combat_no_labels	GSE21974	57	18	0.6310541310541311
954g_leaked_combat_no_labels	GSE22093	97	28	0.7080745341614907
954g_leaked_combat_no_labels	GSE23988	61	20	0.9817073170731707
954g_leaked_combat_no_labels	GSE25066	488	99	0.8910441172651969
954g_leaked_combat_no_labels	GSE28702	83	42	0.5389082462253194
954g_leaked_combat_no_labels	GSE32646	115	27	0.7344276094276094
954g_leaked_combat_no_labels	GSE35640	56	22	0.5481283422459893
954g_leaked_combat_no_labels	GSE37946	50	27	0.6714975845410628
954g_leaked_combat_no_labels	GSE41998	206	201	0.6
954g_leaked_combat_no_labels	GSE44272	53	35	0.5206349206349207
