dataset,n,resp,auc_genes_only,auc_genes_clinical,treatment_class,has_clinical
GSE104645,126,112,0.545,0.5,chemo,False
GSE104958,46,12,0.571,0.559,chemo,False
GSE109211,140,42,0.667,0.777,chemo,False
GSE131978,37,18,0.561,0.515,chemo,False
GSE14615,20,6,0.464,0.56,chemo,False
GSE14671,59,41,0.57,0.541,chemo,False
GSE173263,39,29,0.597,0.493,chemo,False
GSE19293,52,24,0.618,0.524,chemo,False
GSE20181,154,110,0.436,0.41,chemo,False
GSE20194,278,56,0.885,0.869,chemo,False
GSE20271,178,26,0.74,0.766,chemo,False
GSE21974,57,18,0.665,0.704,chemo,False
GSE22093,97,28,0.709,0.673,chemo,False
GSE23988,61,20,0.898,0.911,chemo,False
GSE25066,488,99,0.861,0.867,chemo,False
GSE28702,83,42,0.512,0.498,chemo,False
GSE32646,115,27,0.752,0.703,chemo,False
GSE35640,56,22,0.553,0.5,chemo,False
GSE37946,50,27,0.779,0.833,chemo,False
GSE41998,206,201,0.621,0.48,chemo,False
GSE44272,53,35,0.451,0.471,chemo,False
GSE4779,102,39,0.985,0.991,chemo,False
GSE48905,39,15,0.419,0.419,chemo,False
GSE50948,156,53,0.522,0.492,chemo,False
GSE5122,57,4,0.675,0.708,chemo,False
GSE62321,57,26,0.566,0.504,chemo,False
GSE63885,68,65,0.508,0.462,chemo,False
GSE65021,40,31,0.527,0.588,chemo,False
GSE66999,76,70,0.414,0.436,chemo,False
GSE6861,161,66,0.837,0.833,chemo,False
GSE68871,118,97,0.499,0.527,chemo,False
GSE72970,124,63,0.55,0.515,chemo,False
GSE73578,63,40,0.641,0.686,chemo,False
GSE76360,96,66,0.554,0.537,chemo,False
GSE82172,152,21,0.556,0.53,chemo,False
GSE8970,26,13,0.58,0.692,chemo,False
brightness,482,236,0.633,0.268,parp,True
ispy2,988,319,0.527,0.431,combination,True
