feature	mean_abs_shap	mean_shap_direction	category	direction
CCND1	0.10774575092334353	-0.008048882448177048	gene_expression	resistance
FRS2	0.0500369831670542	-0.0030022224438799455	gene_expression	resistance
HMGA2	0.049932279466086096	-0.002402452398432195	gene_expression	resistance
CEBPD	0.044228731554898926	0.0013050025573420746	gene_expression	response
FOXO3	0.044083270547202	0.0002984375384972474	gene_expression	response
CALU	0.04079853451625678	-0.0005604785623605507	gene_expression	resistance
CYB561	0.03812550056158703	0.0013326316204981645	gene_expression	response
AKT1	0.0377325106217613	0.0005764562794436671	gene_expression	response
CASP3	0.03755962508013876	0.0008757022036701662	gene_expression	response
CRELD2	0.033171772737868976	0.0035759466648100312	gene_expression	response
HOXA10	0.03274542370865023	0.0004343228201120147	gene_expression	response
RPA2	0.03270718041021626	0.0006699752912010493	gene_expression	response
UBE3B	0.032224034885868294	-6.326550547641453e-05	gene_expression	resistance
TFDP1	0.030836057684200214	-0.0019696311470036466	gene_expression	resistance
ZW10	0.029627223479475006	0.0007890511888266571	gene_expression	response
GATA3	0.029540883727369596	-0.00010136722820766633	gene_expression	resistance
POLE2	0.027604027039731235	0.0005469457124542441	gene_expression	response
SNX6	0.02748370635350735	-0.0001636910373833742	gene_expression	resistance
RPP38	0.027357304847182646	-0.00042794190939417524	gene_expression	resistance
SMC4	0.027312264073779225	-0.001693737044748358	gene_expression	resistance
SLC25A4	0.027084396736669233	-0.0005043687048281555	gene_expression	resistance
PTGS2	0.026509818689177823	-0.0012528102264972591	gene_expression	resistance
UTP14A	0.02588044360268664	0.0016855808358261658	gene_expression	response
TCEAL4	0.025288233178149697	-0.001349968329161004	gene_expression	resistance
RNPS1	0.02524948984362083	0.00018234682698178305	gene_expression	response
TRAP1	0.025122283339681587	-0.001157033942841154	gene_expression	resistance
SH3BP5	0.025083405006780076	-0.001193110779780965	gene_expression	resistance
KIF5C	0.02496865169605459	6.675195103772268e-05	gene_expression	response
PSMG1	0.024962216245717917	0.00024008501605977194	gene_expression	response
MAPKAPK2	0.02485490135304287	-0.0006702674146577256	gene_expression	resistance
RFX5	0.024601552962692872	5.486769261639665e-05	gene_expression	response
MAPK13	0.024245619738508417	-0.0007518877091536472	gene_expression	resistance
RPA3	0.024187878848937458	-0.001693272499485822	gene_expression	resistance
SCAND1	0.023877074176510478	0.0007757299883014373	gene_expression	response
ETFB	0.023551621014384332	0.0012726832415051038	gene_expression	response
DHRS7	0.023488650910935438	-0.0006789349381757675	gene_expression	resistance
ssgsea_Notch Signaling	0.023059145173150216	-0.00031453201655208535	ssGSEA_pathway	resistance
SATB1	0.022540558128475496	0.00024511677382674723	gene_expression	response
KIAA0355	0.022538076769395052	0.0014062018586537273	gene_expression	response
