n_valid	n_unique	nmi_response	ami_response	nmi_dataset	nmi_technology	proxy	response_specificity
552	2	0.06227929394798173	0.06092449136362757	0.011785528180082269	0.016821159976433502	proxy_pr_status_meta	0.04545813397154823
5598	5	0.006658860707420692	0.0063492619343118945	0.07838030759858684	0.09441940073227874	proxy_CCND1_rank	0.0
5598	2	0.0017862237531156458	0.0016567946349918612	0.01151089631008184	0.01603244415755884	proxy_proliferation_score_binary	0.0
783	2	0.049449861997625924	0.04831992943326316	0.3182860861357206	0.0039914695277473485	proxy_her2_status_meta	0.0
646	2	0.007662226059679532	0.006520371788459376	0.04738896747828019	0.004030516875779744	proxy_er_status_meta	0.0
5598	5	0.009933979803368988	0.009618060454609193	0.1012297599892917	0.0666548671219345	proxy_kmeans_5	0.0
5598	4	0.01034233627309648	0.010082416821455414	0.065916478060202	0.06930785088051235	proxy_kmeans_4	0.0
5598	3	0.0026886920642798812	0.0024845177859658574	0.03848379560112287	0.05766381971932524	proxy_kmeans_3	0.0
5598	2	0.004324983800457724	0.004193931649391412	0.022271438126887574	0.04479290838216011	proxy_kmeans_2	0.0
5598	3	0.0024366361400067873	0.002236718276378791	0.04331031847729344	0.07579333956914616	proxy_proliferation_score_tertile	0.0
5598	5	0.0027437605328878376	0.002432941892032482	0.06449445678566076	0.09478962054307327	proxy_TOP2A_rank	0.0
5598	5	0.0025193765810790866	0.00220848828749597	0.06307291910610666	0.09332093416746587	proxy_proliferation_score	0.0
5598	5	0.003994159360932581	0.0036837304149691386	0.07862767389129731	0.09397431251417099	proxy_GATA3_rank	0.0
5598	5	0.0014247985478808769	0.0011135687996483368	0.06488479398513691	0.0940295657295743	proxy_AKT1_rank	0.0
5598	5	0.0030652216656826235	0.002754503193924851	0.0619369592269574	0.09344566092104642	proxy_FOXO3_rank	0.0
5598	5	0.002217685021676222	0.0019067025254223143	0.06452126221661698	0.09363238839232114	proxy_BCL2_rank	0.0
5598	5	0.0018874168606944958	0.001576325422276112	0.06466331949496378	0.06956322899827024	proxy_GRB7_rank	0.0
5598	5	0.00026799977912913165	-4.3709554325769095e-05	0.06672854689599486	0.06791230236126314	proxy_ERBB2_rank	0.0
1352	2	0.00037368051054386395	-0.00019036175690812166	0.17517163924164417	0.0009115782223051082	proxy_tnbc_meta	0.0
