feature	type	nmi_raw	nmi_combat_no_labels	nmi_combat_leaked	leaked_minus_raw	leaked_minus_nolabels
DLL1	gene	0.002506876338450747	0.002496396840808744	0.09987292799601076	0.09736605165756002	0.09737653115520202
UGT1A1	gene	0.002239858609382756	0.0036347296591010395	0.0532725199073842	0.05103266129800144	0.04963779024828316
PKM	gene	0.003394761406402434	0.0033752675668848385	0.011284465478159408	0.007889704071756974	0.00790919791127457
HDAC3	gene	0.0031431823978525443	0.0030773902490456376	0.009100287633301736	0.005957105235449192	0.0060228973842560984
PPARA	gene	0.0005146531154840851	0.0005209287500144544	0.008889133016870124	0.00837447990138604	0.00836820426685567
NR1I2	gene	0.003056197580893509	0.003189147801860084	0.00851968483010464	0.005463487249211132	0.0053305370282445575
CYP1A2	gene	0.0016809353825410608	0.0016351517101422814	0.008409282834106465	0.006728347451565404	0.006774131123964184
TUBB	gene	0.0014845423009608022	0.0014473333592909254	0.008222540624408473	0.006737998323447671	0.006775207265117548
TLR4	gene	0.00271844721888948	0.0027524723026914524	0.008208717307067853	0.005490270088178373	0.0054562450043764005
SOX2	gene	0.0037108657466077325	0.00360496214292809	0.00799704058093	0.004286174834322268	0.0043920784380019106
HSPA5	gene	0.0006266513420794569	0.000639405146295249	0.007766600826941004	0.007139949484861547	0.007127195680645754
GLI1	gene	0.0009339213406811635	0.000979885143449329	0.007640213562152891	0.006706292221471727	0.0066603284187035615
TGFBR2	gene	0.0010936418170731255	0.0010678426086910592	0.007486568113434241	0.0063929262963611155	0.006418725504743181
EGFR	gene	0.0007472341266132969	0.0007564825079970436	0.007419181636056276	0.006671947509442978	0.006662699128059232
ERCC1	gene	0.0021439514942425265	0.002129127269631712	0.007351277564690627	0.0052073260704481004	0.005222150295058915
CDKN1B	gene	0.0013969130194323705	0.0013656643044861233	0.007184143984201933	0.005787230964769563	0.005818479679715809
BBC3	gene	0.0007148739559204004	0.0006924234773595328	0.007170799126650426	0.006455925170730025	0.0064783756492908925
CCL2	gene	0.00336184860474956	0.003306759252825417	0.00687721943250559	0.00351537082775603	0.0035704601796801728
ALK	gene	0.0016881998019623503	0.0016472187681382507	0.006829129221974735	0.005140929420012385	0.0051819104538364845
ssgsea_UV Response Dn	pathway	0.000939378590054189	0.0010634984160091201	0.006811988887587759	0.00587261029753357	0.005748490471578639
MLH1	gene	0.0011925911038169086	0.0012083681564990744	0.006683190979061993	0.005490599875245084	0.005474822822562919
DHFR	gene	0.0004584220970573017	0.00046046218705611986	0.006671646888334155	0.006213224791276854	0.0062111847012780354
RELA	gene	0.0015036477615602293	0.0015272225880454593	0.006592218683506682	0.005088570921946453	0.005064996095461223
STAT3	gene	0.0008947016207599865	0.0009231480880993139	0.006582449035195429	0.0056877474144354425	0.005659300947096115
ssgsea_Wnt-beta Catenin Signaling	pathway	0.0004723497213260427	0.0005260972600663864	0.00655517288334231	0.006082823162016267	0.006029075623275923
PLK4	gene	0.0025441301220348075	0.002598691664417591	0.006531928820360966	0.003987798698326158	0.003933237155943375
B2M	gene	0.00042815680493866126	0.00044147611772778585	0.006403080407933616	0.005974923602994954	0.00596160429020583
NANOG	gene	0.001522505787179489	0.0013562299231332474	0.006396409841176736	0.004873904053997248	0.005040179918043489
HDAC6	gene	0.001459696042854766	0.0014624652305990835	0.006370263903710117	0.004910567860855352	0.004907798673111034
JUN	gene	0.0006859068779430178	0.0007508234295285456	0.006365500951792216	0.005679594073849198	0.00561467752226367
CCR5	gene	0.005078353009499447	0.005037231409885025	0.006311093300795481	0.0012327402912960337	0.001273861890910456
CTLA4	gene	0.004578405282812018	0.004687928947062153	0.006309823574121625	0.0017314182913096068	0.0016218946270594725
TGFBR1	gene	0.0013037363202918332	0.0012978987300514802	0.006235924689032915	0.004932188368741082	0.004938025958981435
SLC22A1	gene	0.0009039295431816339	0.0009333179712516243	0.00617577716670164	0.005271847623520006	0.005242459195450015
BMP2	gene	0.002004470292126258	0.0008169781506155541	0.006141105949887924	0.004136635657761666	0.00532412779927237
LRP5	gene	0.0005349813082768172	0.0005608432203842772	0.006132063561327532	0.0055970822530507156	0.005571220340943255
MTOR	gene	0.001508402991653648	0.001239925360741061	0.006040403344987686	0.004532000353334038	0.004800477984246624
CXCL8	gene	0.004462268501156933	0.005130131922492998	0.006039605749221621	0.0015773372480646884	0.0009094738267286231
PPARG	gene	0.0011333333245408285	0.0011333333245408285	0.00598853655881996	0.0048552032342791315	0.0048552032342791315
AXIN1	gene	0.0010447827655649853	0.0010502334031618121	0.005978530639369917	0.004933747873804932	0.004928297236208105
IFNG	gene	0.002603465423855297	0.002992067388788089	0.005878198288297217	0.00327473286444192	0.002886130899509128
NR3C1	gene	0.0004019724288079061	0.00040708580200292046	0.005876865161706631	0.005474892732898725	0.0054697793597037105
BRCA2	gene	0.002127539980177086	0.002155629307081106	0.005855609114260569	0.003728069134083483	0.0036999798071794634
CD274	gene	0.003641526077413175	0.0036480788234787734	0.005781519382005739	0.0021399933045925645	0.002133440558526966
NFKB1	gene	0.0008773191047293122	0.0008403504211281428	0.005632525973932604	0.0047552068692032915	0.004792175552804461
CYP2D6	gene	0.0010174708527574657	0.000985755766755608	0.005585782243440988	0.004568311390683522	0.00460002647668538
JAK2	gene	0.0010448828599310272	0.0010130290325888961	0.005583169028696104	0.004538286168765077	0.004570139996107208
ssgsea_Interferon Gamma Response	pathway	0.0005389677580365364	0.0008665294576653673	0.005513288793800683	0.004974321035764146	0.004646759336135316
MYD88	gene	0.0010605854719922697	0.0010954295407810794	0.005485842172658729	0.0044252567006664596	0.004390412631877649
PMS2	gene	0.0015472319603361685	0.0015865425039988776	0.005447961402065051	0.003900729441728882	0.0038614188980661732
CTNNB1	gene	0.0007097181066575855	0.0007288733815493629	0.00541608281345042	0.0047063647067928345	0.004687209431901057
ROS1	gene	0.0015570771494407749	0.0015355547531046975	0.00540870354991117	0.0038516264004703955	0.003873148796806473
ssgsea_Inflammatory Response	pathway	0.00014537259492348158	0.001085446884916643	0.005343322281573683	0.005197949686650201	0.00425787539665704
ssgsea_p53 Pathway	pathway	0.000826008281745032	0.000677226327848919	0.005307288659124214	0.0044812803773791815	0.004630062331275294
PLK1	gene	0.00031171991049471794	0.0003196273300479759	0.005290832147392686	0.004979112236897968	0.00497120481734471
IL1B	gene	0.0005941665477677868	0.0006021696492789749	0.005256890769101372	0.004662724221333585	0.004654721119822397
ABL1	gene	0.0013439752473959215	0.0013439752473959215	0.005212892137693497	0.0038689168902975753	0.0038689168902975753
HK2	gene	0.000692778774475701	0.0007219341808171896	0.005190825934927966	0.004498047160452265	0.0044688917541107764
PMAIP1	gene	0.0010675876830165496	0.00105873230117786	0.005169459470037511	0.004101871787020961	0.004110727168859651
GUSB	gene	0.0009898266571854225	0.00098730708005563	0.005164311781150506	0.004174485123965083	0.0041770047010948755
PGR	gene	0.0030251711807226414	0.0029243623225779797	0.005119982287155393	0.0020948111064327513	0.002195619964577413
NOTCH2	gene	0.00084727326219087	0.00084727326219087	0.0051115241536063725	0.004264250891415503	0.004264250891415503
WEE1	gene	0.0004096902730767061	0.00044240591483338086	0.005096978244416628	0.004687287971339922	0.004654572329583247
HSP90AA1	gene	0.00108436672966109	0.00108436672966109	0.005075860376121818	0.003991493646460728	0.003991493646460728
E2F1	gene	0.0024909251670128616	0.002530632162363558	0.005071623210711571	0.0025806980436987098	0.0025409910483480133
CHEK2	gene	0.0013674674761312623	0.0013269395921780174	0.005070130470273079	0.003702662994141817	0.0037431908780950615
ssgsea_IL-6/JAK/STAT3 Signaling	pathway	0.0012036479970761289	0.0013406072622345502	0.004994527996055482	0.0037908799989793537	0.003653920733820932
CDC25C	gene	0.00113352293405036	0.0011596389391433611	0.004976952406459209	0.003843429472408849	0.0038173134673158476
