epoch,loss_total,loss_mgp,loss_pap,loss_sub,elapsed_s
1,0.7603669904200967,0.06879893304972813,0.05218070994891312,1.33095540671513,33.0
2,0.7076476746135287,0.0389861728054011,0.0132154175954589,1.3241075861956424,66.0
3,0.7024611855832096,0.037642879946821035,0.010814018337006084,1.3188225967217222,99.0
4,0.7002503579603758,0.037150667252383016,0.00960348614837646,1.3165958946235334,132.2
5,0.6991147794029265,0.03692997344751696,0.009217334993297799,1.315152276978182,165.0
6,0.6979026260047123,0.036696996118773445,0.008848088363478125,1.3135631701041912,199.5
7,0.6964351269933913,0.03650282659492959,0.008402012868416835,1.311462588237163,233.6
8,0.6963585930309076,0.03636798235477159,0.008213489371712294,1.311767731133092,267.3
9,0.6957521130298746,0.036180338419088916,0.007918694563267104,1.3112248561391429,300.1
10,0.6958679531725888,0.03616934956918503,0.0077767821084137045,1.3116204268174154,332.9
11,0.6951597871908283,0.03606068674774691,0.007714965584120531,1.3104832359657435,365.9
12,0.694741021399297,0.03589806319624757,0.0074738962192202555,1.3102120197595764,399.0
13,0.6941601828140317,0.03575678257507154,0.007364579672671826,1.309442219149564,431.8
14,0.6938629301115015,0.03567854220126095,0.007285477780876146,1.3090832955079061,464.7
15,0.693703555284332,0.03548491607737724,0.0072412780321906125,1.3091960003549568,497.6
16,0.6934203816099642,0.03552028812981885,0.007153601594397734,1.3086465843792618,530.4
17,0.6929698403767699,0.03553340027387115,0.007024511570910213,1.307848366284279,563.2
18,0.6922760980339343,0.03538457387737159,0.006896221329604358,1.3068868282654276,596.0
19,0.6926331337384337,0.03532231222281511,0.006797115805548155,1.3078245248831095,629.4
20,0.6919079886542426,0.035359576365899766,0.006805314014262566,1.3062915071217036,663.0
21,0.6923256792784651,0.035292064135901316,0.006732025654750994,1.3073352040915653,696.0
22,0.6922359879902953,0.0352338506372724,0.006730449964003316,1.3072738250096638,728.8
23,0.6917180313917869,0.035210630160638655,0.0066609207381961785,1.3063538805278325,761.6
24,0.6911781663182138,0.03523878400638642,0.006641416490199294,1.3052373507927204,794.5
25,0.6915978483313345,0.035050600453126475,0.006636806557640091,1.3064576876117808,824.2
26,0.6906229093157011,0.03515555848763592,0.006589378417608724,1.3043453250351538,843.5
27,0.69073004078591,0.035136903232941226,0.006555002443206949,1.304631265187172,862.7
28,0.6910104484393679,0.035102296477875945,0.006602462978812356,1.305213838701504,881.9
29,0.6907642515683082,0.035121392187487575,0.006560790898471043,1.3047249266927727,901.4
30,0.6910368950887659,0.03515665074703337,0.006563233692463045,1.3051972567350014,921.2
