dataset,n_test,n_train,response_rate,auc_lightgbm_212,auc_linear_probe,auc_combined
GSE20181,154,3974,0.714,0.4619,0.4514,0.5461
GSE20194,278,3850,0.201,0.817,0.5004,0.6219
GSE20271,178,3950,0.146,0.5577,0.5395,0.5358
GSE25066,488,3640,0.203,0.7985,0.4143,0.7782
GSE41998,206,3922,0.976,0.4677,0.607,0.4448
GSE50948,156,3972,0.34,0.5598,0.4933,0.5866
GSE6861,161,3967,0.41,0.6636,0.4427,0.6618
GSE9782,312,3816,0.577,0.5417,0.4719,0.5146
