dataset_id	geo_accession	source	treatment_class	n_patients	n_responders	n_genes
ctrdb_GSE20181	GSE20181	ctrdb	endocrine	154	110	210
ctrdb_GSE20194	GSE20194	ctrdb	chemo	278	56	210
ctrdb_GSE20271	GSE20271	ctrdb	chemo	178	26	210
ctrdb_GSE21974	GSE21974	ctrdb	chemo	57	18	209
ctrdb_GSE22093	GSE22093	ctrdb	chemo	97	28	210
ctrdb_GSE23988	GSE23988	ctrdb	chemo	61	20	210
ctrdb_GSE25066	GSE25066	ctrdb	chemo	488	99	210
ctrdb_GSE32646	GSE32646	ctrdb	chemo	115	27	212
ctrdb_GSE37946	GSE37946	ctrdb	her2_targeted	50	27	210
ctrdb_GSE41998	GSE41998	ctrdb	chemo	206	201	210
ctrdb_GSE44272	GSE44272	ctrdb	her2_targeted	53	35	210
ctrdb_GSE4779	GSE4779	ctrdb	chemo	102	39	204
ctrdb_GSE48905	GSE48905	ctrdb	endocrine	39	15	212
ctrdb_GSE50948	GSE50948	ctrdb	chemo	156	53	212
ctrdb_GSE66999	GSE66999	ctrdb	chemo	76	70	209
ctrdb_GSE6861	GSE6861	ctrdb	chemo	161	66	204
ctrdb_GSE76360	GSE76360	ctrdb	her2_targeted	96	66	197
ctrdb_GSE82172	GSE82172	ctrdb	endocrine	152	21	210
ispy2_Paclitaxel	GSE194040	ispy2	chemo	179	31	211
ispy2_Paclitaxel_plus_Neratinib	GSE194040	ispy2	her2_targeted	114	42	211
ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	GSE194040	ispy2	dna_damage	71	27	211
ispy2_Paclitaxel_plus_Pembrolizumab	GSE194040	ispy2	immunotherapy	69	31	211
ispy2_T-DM1_plus_Pertuzumab	GSE194040	ispy2	her2_targeted	52	30	211
ispy2_Paclitaxel_plus_Ganitumab	GSE194040	ispy2	other_targeted	107	24	211
ispy2_Paclitaxel_plus_Ganetespib	GSE194040	ispy2	other_targeted	93	26	211
ispy2_Paclitaxel_plus_MK-2206	GSE194040	ispy2	targeted	60	18	211
ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	GSE194040	ispy2	targeted	34	17	211
ispy2_Paclitaxel_plus_Trastuzumab	GSE194040	ispy2	her2_targeted	31	8	211
ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	GSE194040	ispy2	her2_targeted	44	26	211
ispy2_Paclitaxel_plus_AMG_386	GSE194040	ispy2	other_targeted	114	33	211
ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	GSE194040	ispy2	other_targeted	19	6	211
brightness_GSE164458	GSE164458	brightness	dna_damage	482	236	212
