dataset_id	geo_accession	source	n_patients	has_er_status	has_her2_status	has_pr_status	has_tp53	has_pik3ca	has_brca	has_erbb2_amplified	er_frac	her2_frac
ctrdb_GSE20181	GSE20181	ctrdb	176	False	False	False	False	False	False	False	0.0	0.0
ctrdb_GSE20194	GSE20194	ctrdb	278	True	True	True	False	False	False	True	1.0	0.564748201438849
ctrdb_GSE20271	GSE20271	ctrdb	178	False	True	True	False	False	False	True	0.0	1.0
ctrdb_GSE21974	GSE21974	ctrdb	57	True	True	True	False	False	False	True	1.0	0.9649122807017544
ctrdb_GSE22093	GSE22093	ctrdb	103	True	False	False	True	False	False	False	0.9514563106796117	0.0
ctrdb_GSE23988	GSE23988	ctrdb	61	True	False	False	False	False	False	False	1.0	0.0
ctrdb_GSE25066	GSE25066	ctrdb	508	True	True	True	False	False	False	True	0.9881889763779528	0.9665354330708661
ctrdb_GSE32646	GSE32646	ctrdb	115	False	True	False	False	False	False	True	0.0	1.0
ctrdb_GSE37946	GSE37946	ctrdb	50	True	True	True	False	False	False	True	1.0	1.0
ctrdb_GSE41998	GSE41998	ctrdb	279	True	True	True	False	False	False	True	1.0	0.1003584229390681
ctrdb_GSE44272	GSE44272	ctrdb	53	False	False	True	False	False	False	False	0.0	0.0
ctrdb_GSE4779	GSE4779	ctrdb	102	False	False	False	False	False	False	False	0.0	0.0
ctrdb_GSE48905	GSE48905	ctrdb	42	True	False	True	False	False	False	False	1.0	0.0
ctrdb_GSE50948	GSE50948	ctrdb	156	True	False	True	False	False	True	False	1.0	0.0
ctrdb_GSE66999	GSE66999	ctrdb	76	False	True	True	False	False	False	True	0.0	0.9605263157894737
ctrdb_GSE6861	GSE6861	ctrdb	161	False	False	False	False	False	False	False	0.0	0.0
ctrdb_GSE76360	GSE76360	ctrdb	100	False	False	True	False	False	False	False	0.0	0.0
ctrdb_GSE82172	GSE82172	ctrdb	152	False	False	False	False	False	False	False	0.0	0.0
ispy2_Paclitaxel	GSE194040	ispy2	179	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_Neratinib	GSE194040	ispy2	114	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	GSE194040	ispy2	71	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_Pembrolizumab	GSE194040	ispy2	69	True	True	False	False	False	False	True	1.0	1.0
ispy2_T-DM1_plus_Pertuzumab	GSE194040	ispy2	52	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_Ganitumab	GSE194040	ispy2	107	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_Ganetespib	GSE194040	ispy2	93	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_MK-2206	GSE194040	ispy2	60	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	GSE194040	ispy2	34	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_Trastuzumab	GSE194040	ispy2	31	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	GSE194040	ispy2	44	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_AMG_386	GSE194040	ispy2	114	True	True	False	False	False	False	True	1.0	1.0
ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	GSE194040	ispy2	19	True	True	False	False	False	False	True	1.0	1.0
brightness_GSE164458	GSE164458	brightness	482	True	True	True	False	False	False	True	1.0	1.0
