drug_name	aliases	target_pathway	drug_class	clinical_status	status_score	breast_cancer_relevance	her2_relevance	pi3k_mtor_relevance	endocrine_relevance	cdk46_relevance	parp_relevance	dna_damage_relevance	microtubule_relevance	tnbc_relevance	luminal_relevance	hsp90_relevance	tool_compound	standard_of_care_breast	trial_mappable	trial_query_term	notes
cyclophosphamide		DNA alkylation	alkylating chemotherapy	approved_oncology	0.65	3	0	0	0	0	0	2	0	0	0	0	0	1	1	cyclophosphamide	
docetaxel		microtubule	taxane chemotherapy	approved_breast	1.0	3	0	0	0	0	0	0	3	2	0	0	0	1	1	docetaxel	Standard breast-cancer chemotherapy class.
epirubicin		DNA damage/topoisomerase	anthracycline chemotherapy	approved_breast	1.0	3	0	0	0	0	0	2	0	0	0	0	0	1	1	epirubicin	
fluorouracil	5-FU	antimetabolite	antimetabolite chemotherapy	approved_breast	1.0	3	0	0	0	0	0	1	0	0	0	0	0	1	1	fluorouracil	
fulvestrant		ESR1	selective estrogen receptor degrader	approved_breast	1.0	3	0	0	3	0	0	0	0	0	3	0	0	1	1	fulvestrant	Standard endocrine therapy class for ER-positive breast cancer.
gemcitabine		antimetabolite	antimetabolite chemotherapy	approved_breast	1.0	3	0	0	0	0	0	1	0	2	0	0	0	1	1	gemcitabine	
lapatinib	GW572016	ERBB2/HER2, EGFR	HER2/EGFR tyrosine kinase inhibitor	approved_breast	1.0	3	3	0	0	0	0	0	0	0	0	0	0	1	1	lapatinib	Clinically plausible HER2-directed agent for HER2-positive breast cancer.
olaparib		PARP	PARP inhibitor	approved_breast	1.0	3	0	0	0	0	3	3	0	2	0	0	0	1	1	olaparib	Strong clinical rationale in germline BRCA-altered breast cancer.
paclitaxel		microtubule	taxane chemotherapy	approved_breast	1.0	3	0	0	0	0	0	0	3	2	0	0	0	1	1	paclitaxel	Standard breast-cancer chemotherapy class.
palbociclib		CDK4/6	CDK4/6 inhibitor	approved_breast	1.0	3	0	0	0	3	0	0	0	0	3	0	0	1	1	palbociclib	Strongly clinically relevant in HR-positive / luminal breast cancer.
tamoxifen		ESR1	selective estrogen receptor modulator	approved_breast	1.0	3	0	0	3	0	0	0	0	0	3	0	0	1	1	tamoxifen	Standard endocrine therapy class for ER-positive breast cancer.
vinorelbine		microtubule	vinca alkaloid chemotherapy	approved_breast	1.0	3	0	0	0	0	0	0	2	2	0	0	0	1	1	vinorelbine	
GDC-0941	pictilisib	PI3K	PI3K inhibitor	investigational_breast	0.45	2	0	3	0	0	0	0	0	0	0	0	0	0	1	pictilisib	PI3K-pathway inhibitor with breast-cancer trial history.
MK-2206		AKT	AKT inhibitor	investigational_breast	0.45	2	0	2	0	0	0	0	0	0	0	0	0	0	1	MK-2206	
NVP-AUY922	luminespib	HSP90 client proteins, HER2 stabilization	HSP90 inhibitor	investigational_breast	0.45	2	2	0	0	0	0	0	0	0	0	3	0	0	1	luminespib	Investigational HSP90 inhibitor with HER2-pathway plausibility.
NVP-BEZ235	dactolisib	PI3K/mTOR	dual PI3K/mTOR inhibitor	investigational_breast	0.45	2	0	3	0	0	0	0	0	0	0	0	0	0	1	dactolisib	Dual PI3K/mTOR inhibitor; plausible for PIK3CA-altered disease but not standard of care.
buparlisib	BKM120	PI3K	pan-PI3K inhibitor	investigational_breast	0.45	2	0	3	0	0	0	0	0	0	0	0	0	0	1	buparlisib	
