gene,importance
CDH1,73
HSPB1,69
VEGFA,68
UGT1A1,64
CCND1,64
ACACA,63
BBC3,63
PGR,63
SOX2,63
XIAP,62
DNMT1,60
NANOG,60
IL1B,58
CCR5,58
TNF,58
CDKN2A,58
CDKN1B,57
TP53,55
PLK1,55
EZH2,55
SMO,55
G6PD,55
BAK1,55
STAT3,54
CTLA4,54
CCL2,52
BAX,52
SMAD3,52
VDR,52
ROS1,52
FOXA1,52
RET,51
IFNG,51
BMP2,51
MAP3K1,51
DNMT3A,50
MAP2K1,50
CASP3,49
GSK3B,49
SCD,49
PPARA,48
FGFR1,48
HPRT1,48
AKT1,48
BID,48
ATR,48
MSH2,48
AR,47
FOS,47
MAPK1,47
PTEN,47
HDAC1,46
KLF4,46
TLR4,46
BRCA2,45
XPC,45
CYP3A4,44
ATM,44
ABCG2,44
NTRK1,44
NR1I2,43
GATA3,43
HDAC2,43
NOTCH2,43
EGFR,43
RRM2,43
TUBB,43
CDKN1A,42
SLCO1B1,42
PMS2,42
CD4,42
HES1,42
BCL2,42
HDAC3,42
PMAIP1,41
MYC,41
HDAC6,41
E2F1,41
CHEK2,41
BRAF,41
TGFB1,41
RXRA,40
MYD88,40
NOTCH1,40
CDC20,39
ERCC1,39
TBP,39
GUSB,39
HMGCR,39
HIF1A,38
SLC22A1,38
SMAD2,38
SRC,38
IL6,38
KRAS,38
MAPK3,37
PIK3CA,37
HK2,37
ACTB,37
XRCC1,37
SHH,36
HSPA8,36
RPL13A,36
FOXP3,36
MET,36
GZMB,36
EGR1,36
KIT,35
B2M,35
AXIN1,35
PLK4,35
TGFBR1,34
HSP90AB1,34
BRD4,34
ESR1,34
GAPDH,34
MDM4,34
MDM2,33
POU5F1,33
LRP5,33
KIF11,33
JAK2,33
CCNE1,33
RRM1,33
SREBF1,33
MKI67,32
YES1,32
FYN,32
ABL1,32
ALK,32
KDM1A,32
VHL,31
RAD51,31
PSMB5,31
GZMA,31
JUN,31
ERBB2,30
TUBA1A,30
SIRT1,30
PDGFRA,30
BCL2L1,30
RELA,30
MTOR,30
KDR,30
CENPE,30
KAT2A,30
WNT1,30
CDK2,29
EP300,29
CXCR4,29
CTNNB1,29
APC,29
RB1,29
USP7,29
AURKB,28
BCL2L11,27
HSPA5,27
IKBKB,27
CDC25C,26
SQLE,26
CDK6,26
SMAD4,26
TGFBR2,26
PSMA1,26
PRF1,26
TOP2A,26
FASN,26
HSP90AA1,26
JAG1,26
DHFR,25
CYP2D6,25
UBB,25
MYB,25
CDK1,25
CYP1A2,25
CASP8,24
CDC25A,24
MCL1,24
CREBBP,24
PDCD1,24
PPARG,24
ABCB1,23
FZD1,23
KDM5A,23
BRCA1,23
CD8A,22
PARP2,22
RARA,22
UBE2C,22
LDHA,21
HSPA1A,21
GLI1,21
TTK,21
MLH1,21
BUB1,20
CCNA2,20
NR3C1,20
PARP1,19
CDK4,19
EPAS1,18
TYMS,17
NFKB1,17
CCNB1,14
CHEK1,13
NEK2,13
BIRC5,10
WEE1,9
AURKA,8
