config	held_out_dataset	treatment_class	source	has_mutation_data	n_test	n_test_resp	n_train	auc	balanced_accuracy	sensitivity	specificity	n_features
A_expr_only	ctrdb_GSE20181	endocrine	ctrdb	False	154	110	3834	0.4031	0.4795	0.1182	0.8409	192
A_expr_only	ctrdb_GSE20194	chemo	ctrdb	True	278	56	3710	0.8903	0.6963	0.4107	0.982	192
A_expr_only	ctrdb_GSE20271	chemo	ctrdb	True	178	26	3810	0.6569	0.6083	0.7692	0.4474	192
A_expr_only	ctrdb_GSE21974	chemo	ctrdb	True	57	18	3931	0.6524	0.6197	0.4444	0.7949	192
A_expr_only	ctrdb_GSE22093	chemo	ctrdb	True	97	28	3891	0.7319	0.6211	0.2857	0.9565	192
A_expr_only	ctrdb_GSE23988	chemo	ctrdb	True	61	20	3927	0.972	0.7128	0.45	0.9756	192
A_expr_only	ctrdb_GSE25066	chemo	ctrdb	True	488	99	3500	0.8674	0.7279	0.5253	0.9306	192
A_expr_only	ctrdb_GSE32646	chemo	ctrdb	True	115	27	3873	0.7024	0.5928	0.3333	0.8523	192
A_expr_only	ctrdb_GSE37946	her2_targeted	ctrdb	True	50	27	3938	0.789	0.5491	0.1852	0.913	192
A_expr_only	ctrdb_GSE41998	chemo	ctrdb	True	206	201	3782	0.7284	0.602	0.204	1.0	192
A_expr_only	ctrdb_GSE44272	her2_targeted	ctrdb	True	53	35	3935	0.473	0.4889	0.2	0.7778	192
A_expr_only	ctrdb_GSE4779	chemo	ctrdb	False	102	39	3886	0.9919	0.9249	0.8974	0.9524	192
A_expr_only	ctrdb_GSE48905	endocrine	ctrdb	True	39	15	3949	0.4139	0.475	0.2	0.75	192
A_expr_only	ctrdb_GSE50948	chemo	ctrdb	True	156	53	3832	0.5735	0.5061	0.2453	0.767	192
A_expr_only	ctrdb_GSE66999	chemo	ctrdb	True	76	70	3912	0.4333	0.5095	0.1857	0.8333	192
A_expr_only	ctrdb_GSE6861	chemo	ctrdb	False	161	66	3827	0.8601	0.8156	0.7576	0.8737	192
A_expr_only	ctrdb_GSE76360	her2_targeted	ctrdb	True	96	66	3892	0.5333	0.5136	0.2273	0.8	192
A_expr_only	ctrdb_GSE82172	endocrine	ctrdb	False	152	21	3836	0.4824	0.494	0.2857	0.7023	192
A_expr_only	ispy2_Paclitaxel	chemo	ispy2	True	179	31	3809	0.5915	0.5251	0.2258	0.8243	192
