treatment_class	rank	gene	importance
endocrine	1	KLF4	90
endocrine	2	NFKB1	79
endocrine	3	BMP2	78
endocrine	4	HIF1A	76
endocrine	5	FOS	66
endocrine	6	NR1I2	66
endocrine	7	RET	66
endocrine	8	PMAIP1	59
endocrine	9	KRAS	54
endocrine	10	MAPK3	54
endocrine	11	DHFR	51
endocrine	12	HSPA8	50
endocrine	13	RB1	50
endocrine	14	CDH1	49
endocrine	15	SMAD4	49
endocrine	16	BCL2	48
endocrine	17	HES1	48
endocrine	18	FOXA1	45
endocrine	19	AR	44
endocrine	20	MAP3K1	43
chemo	1	NR1I2	90
chemo	2	APC	87
chemo	3	CTLA4	87
chemo	4	IFNG	80
chemo	5	PGR	66
chemo	6	ERBB2	63
chemo	7	HES1	63
chemo	8	LDHA	61
chemo	9	NANOG	61
chemo	10	FOXA1	60
chemo	11	ROS1	60
chemo	12	RRM2	60
chemo	13	BMP2	59
chemo	14	KIT	59
chemo	15	ACTB	58
chemo	16	AXIN1	58
chemo	17	ERCC1	58
chemo	18	PLK1	57
chemo	19	VDR	57
chemo	20	ALK	56
her2_targeted	1	CDKN2A	110
her2_targeted	2	SMAD3	80
her2_targeted	3	CDKN1B	75
her2_targeted	4	PMS2	75
her2_targeted	5	ERBB2	74
her2_targeted	6	HSPB1	64
her2_targeted	7	CDC25C	62
her2_targeted	8	CDK2	61
her2_targeted	9	MCL1	61
her2_targeted	10	XRCC1	59
her2_targeted	11	DHFR	58
her2_targeted	12	SOX2	57
her2_targeted	13	NOTCH1	56
her2_targeted	14	RB1	56
her2_targeted	15	HK2	55
her2_targeted	16	HSPA5	55
her2_targeted	17	MET	54
her2_targeted	18	E2F1	52
her2_targeted	19	CASP8	50
her2_targeted	20	BBC3	49
dna_damage	1	CYP3A4	110
dna_damage	2	PMS2	92
dna_damage	3	EPAS1	69
dna_damage	4	RB1	68
dna_damage	5	HDAC1	67
dna_damage	6	RRM1	64
dna_damage	7	VHL	64
dna_damage	8	JAK2	63
dna_damage	9	RET	62
dna_damage	10	CENPE	60
dna_damage	11	EP300	60
dna_damage	12	PSMA1	60
dna_damage	13	NFKB1	59
dna_damage	14	DHFR	57
dna_damage	15	GATA3	57
dna_damage	16	CHEK2	55
dna_damage	17	GZMB	55
dna_damage	18	RXRA	55
dna_damage	19	CDKN1A	53
dna_damage	20	AR	52
other_targeted	1	SIRT1	65
other_targeted	2	CDH1	62
other_targeted	3	NOTCH2	58
other_targeted	4	MYC	55
other_targeted	5	DNMT3A	54
other_targeted	6	TBP	53
other_targeted	7	SQLE	51
other_targeted	8	HSPA8	50
other_targeted	9	RAD51	47
other_targeted	10	SMAD3	47
other_targeted	11	TOP2A	47
other_targeted	12	MAP2K1	46
other_targeted	13	VDR	46
other_targeted	14	B2M	45
other_targeted	15	MET	45
other_targeted	16	SMO	45
other_targeted	17	CCNA2	44
other_targeted	18	APC	41
other_targeted	19	JUN	41
other_targeted	20	CDKN1B	39
targeted	1	MCL1	79
targeted	2	ACACA	65
targeted	3	NR3C1	57
targeted	4	JAG1	56
targeted	5	SMAD4	56
targeted	6	FGFR1	53
targeted	7	CXCR4	50
targeted	8	KDR	47
targeted	9	BCL2L11	45
targeted	10	RET	44
targeted	11	BRCA1	41
targeted	12	VDR	33
targeted	13	IKBKB	29
targeted	14	PARP2	25
targeted	15	ACTB	24
targeted	16	ATM	24
targeted	17	NR1I2	23
targeted	18	USP7	23
targeted	19	PGR	19
targeted	20	CDK2	17
