drug,geo_id,source,n_patients,n_responders,n_nonresponders,auc,wilcoxon_p,mean_score_responders,mean_score_nonresponders,mean_diff
alfacalcidol,GSE20271,LINCS,178,26,152,0.6493,0.015185,0.0768,-0.0129,0.0897
cefaclor,GSE20271,LINCS,178,26,152,0.4112,0.148855,-0.0448,0.0056,-0.0504
guanfacine,GSE20271,LINCS,178,26,152,0.4613,0.529942,-0.0235,0.0011,-0.0246
sulfacetamide,GSE20271,LINCS,178,26,152,0.6207,0.0497,0.047,-0.0069,0.0539
sulfachlorpyridazine,GSE20271,LINCS,178,26,152,0.647,0.016808,0.0501,-0.0207,0.0707
tofacitinib,GSE20271,LINCS,178,26,152,0.3603,0.02312,-0.0773,0.0048,-0.0821
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid,GSE41998,LINCS,206,201,5,0.4697,0.825139,-0.0009,0.0175,-0.0185
2-fluoropalmitic-acid,GSE41998,LINCS,206,201,5,0.7473,0.058052,0.0022,-0.0951,0.0973
4-hydroxyretinoic-acid,GSE41998,LINCS,206,201,5,0.8209,0.011065,0.0069,-0.174,0.1809
5-aminolevulinic-acid,GSE41998,LINCS,206,201,5,0.5443,0.745738,-0.0007,-0.0102,0.0096
ac-55649,GSE41998,LINCS,206,201,5,0.7313,0.07777,0.0035,-0.1413,0.1448
bl003-049-hdac3,GSE41998,LINCS,206,201,5,0.4189,0.549416,0.001,0.0364,-0.0353
dac-003,GSE41998,LINCS,206,201,5,0.2866,0.105596,-0.0032,0.1343,-0.1376
dac-004,GSE41998,LINCS,206,201,5,0.4299,0.605276,0.0043,0.0326,-0.0283
dac-009,GSE41998,LINCS,206,201,5,0.6119,0.406241,0.0091,-0.0261,0.0352
dac-012,GSE41998,LINCS,206,201,5,0.3502,0.263401,0.0029,0.0732,-0.0702
dac-013,GSE41998,LINCS,206,201,5,0.4318,0.615683,0.0002,0.0815,-0.0812
fl-hdac-025,GSE41998,LINCS,206,201,5,0.6627,0.223175,-0.0013,-0.057,0.0557
hdac1-selective,GSE41998,LINCS,206,201,5,0.4488,0.706909,0.0021,0.0076,-0.0056
hdac3-selective,GSE41998,LINCS,206,201,5,0.4388,0.652672,0.0004,0.0333,-0.0329
"hdaci1,2+3_mix",GSE41998,LINCS,206,201,5,0.3085,0.148818,-0.0035,0.1224,-0.1259
m2-pk-activator,GSE41998,LINCS,206,201,5,0.5821,0.544459,0.0016,-0.0406,0.0423
n-(3-acetamidophenyl)-3-chlorobenzamide,GSE41998,LINCS,206,201,5,0.6119,0.406241,0.0038,-0.0272,0.031
n-arachidonyl-gaba,GSE41998,LINCS,206,201,5,0.6398,0.297342,0.0005,-0.0399,0.0404
nfkb-activation-inhibitor-ii,GSE41998,LINCS,206,201,5,0.6567,0.241197,0.0038,-0.0696,0.0734
pac-1,GSE41998,LINCS,206,201,5,0.2358,0.041587,-0.001,0.1726,-0.1736
acadesine,GSE41998,LINCS,206,201,5,0.4537,0.734578,0.0023,0.0152,-0.0129
acamprosate,GSE41998,LINCS,206,201,5,0.5124,0.929613,-0.0048,-0.0063,0.0016
acarbose,GSE41998,LINCS,206,201,5,0.5801,0.554394,-0.0017,-0.0228,0.0212
acebutolol,GSE41998,LINCS,206,201,5,0.3692,0.330128,-0.0054,0.0598,-0.0652
aceclidine,GSE41998,LINCS,206,201,5,0.2836,0.100512,-0.0036,0.0696,-0.0732
aceclofenac,GSE41998,LINCS,206,201,5,0.5343,0.802246,-0.0027,-0.0112,0.0086
acefylline,GSE41998,LINCS,206,201,5,0.2925,0.116331,-0.0051,0.0984,-0.1035
acemetacin,GSE41998,LINCS,206,201,5,0.398,0.449958,0.0036,0.0302,-0.0266
acenocoumarol,GSE41998,LINCS,206,201,5,0.3393,0.229079,-0.0066,0.0546,-0.0612
acepromazine,GSE41998,LINCS,206,201,5,0.6149,0.39361,0.0017,-0.063,0.0647
acetazolamide,GSE41998,LINCS,206,201,5,0.6975,0.135959,0.0095,-0.0926,0.1021
acetohexamide,GSE41998,LINCS,206,201,5,0.7104,0.110868,0.0025,-0.0834,0.0859
acetyl-farnesyl-cysteine,GSE41998,LINCS,206,201,5,0.4289,0.600101,0.0062,0.0336,-0.0274
acetyl-geranygeranyl-cysteine,GSE41998,LINCS,206,201,5,0.4856,0.917917,0.0046,0.0043,0.0003
acetyl-geranyl-cysteine,GSE41998,LINCS,206,201,5,0.4716,0.836639,0.0103,0.0256,-0.0152
acetylcholine,GSE41998,LINCS,206,201,5,0.2438,0.048803,-0.0006,0.0736,-0.0742
acetylcysteine,GSE41998,LINCS,206,201,5,0.2826,0.098858,0.0069,0.0954,-0.0886
acetylsalicylsalicylic-acid,GSE41998,LINCS,206,201,5,0.4358,0.636715,0.0076,0.0314,-0.0238
acipimox,GSE41998,LINCS,206,201,5,0.4338,0.626163,0.0081,0.0386,-0.0305
acitretin,GSE41998,LINCS,206,201,5,0.7731,0.034502,0.0067,-0.1176,0.1243
actarit,GSE41998,LINCS,206,201,5,0.3463,0.250557,-0.0034,0.0661,-0.0695
acyclovir,GSE41998,LINCS,206,201,5,0.5005,1.0,-0.0082,-0.0055,-0.0027
alendronic-acid,GSE41998,LINCS,206,201,5,0.3851,0.39361,0.0055,0.0558,-0.0503
alfacalcidol,GSE41998,LINCS,206,201,5,0.2796,0.094017,-0.0087,0.164,-0.1727
alfadolone-acetate,GSE41998,LINCS,206,201,5,0.3502,0.263401,-0.0008,0.0769,-0.0777
alpha-linolenic-acid,GSE41998,LINCS,206,201,5,0.6368,0.308035,0.0063,-0.0449,0.0512
amikacin,GSE41998,LINCS,206,201,5,0.6786,0.179591,-0.0031,-0.0924,0.0893
aminocaproic-acid,GSE41998,LINCS,206,201,5,0.5861,0.524844,0.0002,-0.0428,0.0429
aminohippuric-acid,GSE41998,LINCS,206,201,5,0.4786,0.877128,0.0089,0.0243,-0.0154
aminosalicylic-acid,GSE41998,LINCS,206,201,5,0.7433,0.062573,0.0079,-0.104,0.1119
amsacrine,GSE41998,LINCS,206,201,5,0.2816,0.097224,-0.0105,0.2443,-0.2548
aniracetam,GSE41998,LINCS,206,201,5,0.2856,0.103881,0.0016,0.0712,-0.0696
apoptosis-activator-ii,GSE41998,LINCS,206,201,5,0.6388,0.30088,0.0142,-0.0483,0.0625
arachidonamide,GSE41998,LINCS,206,201,5,0.5652,0.63143,0.0042,-0.0172,0.0215
arachidonyl-trifluoro-methane,GSE41998,LINCS,206,201,5,0.4577,0.756949,-0.0003,0.0689,-0.0692
aristolochic-acid,GSE41998,LINCS,206,201,5,0.3413,0.235086,0.0025,0.0551,-0.0526
ascorbic-acid,GSE41998,LINCS,206,201,5,0.4209,0.559392,0.0057,0.0385,-0.0329
asiatic-acid,GSE41998,LINCS,206,201,5,0.5483,0.72347,0.0053,-0.0208,0.026
atractyloside,GSE41998,LINCS,206,201,5,0.5035,0.982383,-0.0045,-0.0165,0.012
atracurium,GSE41998,LINCS,206,201,5,0.3692,0.330128,-0.0072,0.0567,-0.064
