held_out_dataset	drug	endpoint_family	n_test	n_test_pos	n_test_neg	n_train	n_features	auroc	auprc
GSE104645	Fluorouracil+Leucovorin+Oxaliplatin	radiographic	126	112	14	2716	65	0.6173	0.9183
GSE104958	Cisplatin+Docetaxel+Fluorouracil	pathologic_response	46	12	34	2796	65	0.6397	0.4073
GSE109211	Sorafenib	pharmacodynamic	140	42	98	2702	65	0.3863	0.2774
GSE14615	Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine	survival	20	6	14	2822	65	0.131	0.2121
GSE14671	Imatinib	pharmacodynamic	59	41	18	2783	65	0.5976	0.7627
GSE173263	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	unknown	39	29	10	2803	65	0.5138	0.7774
GSE19293	Melphalan	radiographic	52	24	28	2790	65	0.5565	0.4693
GSE20181	Letrozole	pharmacodynamic	154	110	44	2688	65	0.4378	0.6929
GSE20194	TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel)	pathologic_response	278	56	222	2564	65	0.7219	0.3584
GSE20271	FAC (Cyclophosphamide+Doxorubicin+Fluorouracil)	pathologic_response	178	26	152	2664	65	0.7108	0.3354
GSE21974	Cyclophosphamide+Docetaxel+Epirubicin	pathologic_response	57	18	39	2785	65	0.49	0.422
GSE22093	FEC (Cyclophosphamide+Epirubicin+Fluorouracil)	pathologic_response	97	28	69	2745	65	0.6651	0.4278
GSE23988	FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel	pathologic_response	61	20	41	2781	65	0.572	0.4565
GSE28702	FOLFOX (Fluorouracil+Leucovorin+Oxaliplatin)	radiographic	83	42	41	2759	65	0.4669	0.5197
GSE32646	TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)	pathologic_response	115	27	88	2727	65	0.729	0.4849
GSE41998	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone	radiographic	206	201	5	2636	65	0.1453	0.9514
GSE4779	Cyclophosphamide+Epirubicin+Fluorouracil	pathologic_response	102	39	63	2740	65	0.6313	0.5787
GSE48905	Fulvestrant	radiographic	39	15	24	2803	65	0.45	0.3804
GSE50948	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab	pathologic_response	156	53	103	2686	65	0.4787	0.3262
GSE5122	Tipifarnib	radiographic	57	4	53	2785	65	0.4057	0.0711
GSE62321	Fluorouracil+Irinotecan+Leucovorin	pharmacodynamic	57	26	31	2785	65	0.4938	0.4914
GSE66999	Docetaxel+Epirubicin+Pegfilgrastim	radiographic	76	70	6	2766	65	0.3476	0.9116
GSE6861	Cyclophosphamide+Epirubicin+Fluorouracil	pathologic_response	161	66	95	2681	65	0.5619	0.5209
GSE68871	VTD (Bortezomib+Thalidomide)	radiographic	118	97	21	2724	65	0.5091	0.8328
GSE72970	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)	radiographic	124	63	61	2718	65	0.4442	0.4872
GSE73578	Prednisone	pharmacodynamic	63	40	23	2779	65	0.1967	0.4846
GSE82172	Tamoxifen	radiographic	152	21	131	2690	65	0.4682	0.1809
GSE8970	Tipifarnib	survival	26	13	13	2816	65	0.2249	0.3788
