dataset,pan_cancer_auc,breast_only_auc,difference
GSE20194,0.8939,0.8894,0.0045000000000000595
GSE20271,0.7606,0.712,0.04860000000000009
GSE25066,0.8609,0.7983,0.06259999999999999
GSE32646,0.7471,0.7555,-0.008399999999999963
GSE41998,0.606,0.4627,0.14329999999999998
GSE4779,0.9752,0.974,0.0011999999999999789
GSE50948,0.5136,0.5153,-0.0017000000000000348
GSE66999,0.5952,0.4714,0.12379999999999997
GSE6861,0.8904,0.8496,0.04079999999999995
GSE82172,0.4969,0.5158,-0.018900000000000028
MEAN,0.7339800000000001,0.6943999999999999,0.03958000000000017
