drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),very_high
sirolimus,1.11,99.77945121929113,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),very_high
docetaxel,1.11,66.96768673992729,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),high
paclitaxel,10.0,66.27192061833068,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),high
vinorelbine,10.0,50.058224887454266,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),high
vinblastine,10.0,48.66486357854998,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
NVP-AUY922,1.11,34.16311835532031,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
NVP-BEZ235,10.0,34.10545822463702,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
lestaurtinib,10.0,33.23050484349864,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
methotrexate,10.0,33.06797963510675,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
epirubicin,10.0,31.662589248622954,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
camptothecin,1.11,30.81651191595829,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
gemcitabine,10.0,30.404305842743394,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),moderate
staurosporine,10.0,28.974638914144002,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
GDC-0941,10.0,28.642197850378192,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
SN-38,1.11,25.512299940900387,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
tanespimycin,10.0,25.46842754639655,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
nutlin-3,10.0,24.40541806951366,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
topotecan,1.11,22.543029657338412,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
lapatinib,10.0,21.91615079242708,KDM5A(38); PPARG(17); ERBB2(16); EGR1(13); STAT3(13),low
