metric	overall	n_datasets	total_patients	pathologic_response	pharmacodynamic	radiographic	survival	unknown
mean_auroc	0.4855	28	2842	0.62	0.4224	0.4411	0.178	0.5138
mean_auprc	0.5042	28	2842	0.4318	0.5418	0.5723	0.2954	0.7774
