drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),very_high
sirolimus,1.11,99.13717325603885,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),very_high
docetaxel,1.11,66.31857528147371,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),high
paclitaxel,10.0,65.62280915987711,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),high
vinorelbine,10.0,49.41262304661443,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
vinblastine,10.0,48.019261737710146,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
NVP-BEZ235,10.0,33.586457818542726,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
NVP-AUY922,1.11,33.520840392067974,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
lestaurtinib,10.0,32.71150443740435,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
methotrexate,10.0,32.41886817665309,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
epirubicin,10.0,31.01347779016934,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
camptothecin,1.11,30.167400457504677,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),moderate
gemcitabine,10.0,29.75519438428978,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
GDC-0941,10.0,27.993086391924578,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
staurosporine,10.0,27.860391916281277,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
SN-38,1.11,24.863188482446773,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
tanespimycin,10.0,24.819316087942937,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
nutlin-3,10.0,23.763140106261353,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
topotecan,1.11,21.893918198884798,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
navitoclax,10.0,21.17762061929952,KDM5A(23); HES1(15); IKBKB(14); HSPB1(14); SMAD3(14),low
