dataset_id	treatment_class	model_type	auc	n_test	n_train	n_train_datasets	resp_rate_test
ctrdb_GSE20194	chemo	class_specific	0.921010296010296	278	1876	12	0.2014388489208633
ctrdb_GSE20271	chemo	class_specific	0.7467105263157895	178	1976	12	0.14606741573033707
ctrdb_GSE21974	chemo	class_specific	0.6196581196581197	57	2097	12	0.3157894736842105
ctrdb_GSE22093	chemo	class_specific	0.7318840579710145	97	2057	12	0.28865979381443296
ctrdb_GSE23988	chemo	class_specific	0.8951219512195123	61	2093	12	0.32786885245901637
ctrdb_GSE25066	chemo	class_specific	0.8678299706577343	488	1666	12	0.2028688524590164
ctrdb_GSE32646	chemo	class_specific	0.7689393939393938	115	2039	12	0.23478260869565218
ctrdb_GSE41998	chemo	class_specific	0.34825870646766166	206	1948	12	0.9757281553398058
ctrdb_GSE4779	chemo	class_specific	0.9959299959299959	102	2052	12	0.38235294117647056
ctrdb_GSE50948	chemo	class_specific	0.5781278622458326	156	1998	12	0.33974358974358976
ctrdb_GSE66999	chemo	class_specific	0.44285714285714284	76	2078	12	0.9210526315789473
ctrdb_GSE6861	chemo	class_specific	0.9023923444976077	161	1993	12	0.40993788819875776
ispy2_Paclitaxel	chemo	class_specific	0.49978204010462074	179	1975	12	0.17318435754189945
ctrdb_GSE20181	endocrine	class_specific	0.5004132231404959	154	191	2	0.7142857142857143
ctrdb_GSE48905	endocrine	class_specific	0.325	39	306	2	0.38461538461538464
ctrdb_GSE82172	endocrine	class_specific	0.5081788440567067	152	193	2	0.13815789473684212
ctrdb_GSE37946	her2_targeted	class_specific	0.49597423510466987	50	390	6	0.54
ctrdb_GSE44272	her2_targeted	class_specific	0.4634920634920635	53	387	6	0.660377358490566
ctrdb_GSE76360	her2_targeted	class_specific	0.4156565656565656	96	344	6	0.6875
ispy2_Paclitaxel_plus_Neratinib	her2_targeted	class_specific	0.5224867724867726	114	326	6	0.3684210526315789
ispy2_T-DM1_plus_Pertuzumab	her2_targeted	class_specific	0.4575757575757576	52	388	6	0.5769230769230769
ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	class_specific	0.5163043478260869	31	409	6	0.25806451612903225
