drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
pembrolizumab,10.0,52.446757770247444,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
tucatinib,10.0,52.04152047369148,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
vorinostat,10.0,51.75249894833854,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
dasatinib,10.0,51.63348063120312,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
olaparib,10.0,51.049815140370995,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
neratinib,10.0,50.91631517340364,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
tamoxifen,10.0,50.90765123774001,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
palbociclib,10.0,50.77336409907438,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
alpelisib,10.0,50.54468921507249,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
ipatasertib,10.0,50.445543200042465,ESR1(272); MKI67(66); CCND1(65); PGR(62); CDK4(58),high
