fold,lgbm_rmse,lgbm_r2,lgbm_time_s,nn_rmse,nn_r2,nn_time_s,ensemble_rmse,ensemble_r2
1,18.8633,0.7181,11.7,16.7089,0.7788,3.8,16.4495,0.7856
2,18.8737,0.71,11.1,15.3363,0.8085,2.6,15.5539,0.803
3,20.079,0.7153,7.3,16.5743,0.806,1.0,17.0523,0.7947
4,17.888,0.7521,3.8,17.1444,0.7723,1.0,16.4151,0.7913
5,18.6462,0.719,3.8,15.9468,0.7945,0.9,15.4019,0.8083
