correction_method	dataset_id	n_train	n_test	n_test_pos	n_features	auc	treatment_class
batch_combat	BrighTNess	5116	482	236	1001	0.5520704147719444	parp
batch_combat	GSE104645	5472	126	112	1001	0.38903061224489793	chemo
batch_combat	GSE104958	5552	46	12	1001	0.7083333333333334	chemo
batch_combat	GSE109211	5458	140	42	1001	0.4402332361516035	chemo
batch_combat	GSE131978	5561	37	18	1001	0.3684210526315789	chemo
batch_combat	GSE14615	5578	20	6	1001	0.3214285714285714	chemo
batch_combat	GSE14671	5539	59	41	1001	0.5094850948509485	chemo
batch_combat	GSE173263	5559	39	29	1001	0.6620689655172414	chemo
batch_combat	GSE19293	5546	52	24	1001	0.42410714285714285	chemo
batch_combat	GSE20181	5444	154	110	1001	0.3601239669421487	chemo
batch_combat	GSE20194	5320	278	56	1001	0.9356499356499356	chemo
batch_combat	GSE20271	5420	178	26	1001	0.7451923076923077	chemo
batch_combat	GSE21974	5541	57	18	1001	0.6082621082621082	chemo
batch_combat	GSE22093	5501	97	28	1001	0.7106625258799172	chemo
batch_combat	GSE23988	5537	61	20	1001	0.9792682926829268	chemo
batch_combat	GSE25066	5110	488	99	1001	0.8901872192360624	chemo
batch_combat	GSE28702	5515	83	42	1001	0.5981416957026713	chemo
batch_combat	GSE32646	5483	115	27	1001	0.720959595959596	chemo
batch_combat	GSE35640	5542	56	22	1001	0.5454545454545454	chemo
batch_combat	GSE37946	5548	50	27	1001	0.5861513687600645	chemo
batch_combat	GSE41998	5392	206	201	1001	0.5502487562189055	chemo
batch_combat	GSE44272	5545	53	35	1001	0.4825396825396825	chemo
batch_combat	GSE4779	5496	102	39	1001	0.9991859991859993	chemo
batch_combat	GSE48905	5559	39	15	1001	0.5527777777777778	chemo
batch_combat	GSE50948	5442	156	53	1001	0.5000915918666422	chemo
batch_combat	GSE5122	5541	57	4	1001	0.8537735849056605	chemo
batch_combat	GSE61676	5512	86	46	1001	0.5	chemo
batch_combat	GSE62321	5541	57	26	1001	0.44044665012406947	chemo
batch_combat	GSE63885	5530	68	65	1001	0.34358974358974365	chemo
batch_combat	GSE65021	5558	40	31	1001	0.5376344086021506	chemo
batch_combat	GSE66999	5522	76	70	1001	0.45	chemo
batch_combat	GSE6861	5437	161	66	1001	0.8762360446570971	chemo
batch_combat	GSE68871	5480	118	97	1001	0.5483554246440845	chemo
batch_combat	GSE72970	5474	124	63	1001	0.5438459536820192	chemo
batch_combat	GSE73578	5535	63	40	1001	0.2923913043478261	chemo
batch_combat	GSE76360	5502	96	66	1001	0.5449494949494949	chemo
batch_combat	GSE82172	5446	152	21	1001	0.40966921119592875	chemo
batch_combat	GSE8970	5572	26	13	1001	0.544378698224852	chemo
batch_combat	GSE9782	5286	312	180	1001	0.5210437710437711	chemo
batch_combat	ISPY2	4610	988	319	1001	0.5069373181326173	combination
