dataset_id	treatment_class	pooled_auc	class_auc	routed_auc	weight_class	weight_pooled	n_test	class_train_size
ctrdb_GSE20181	endocrine	0.3867768595041322	0.5004132231404959	0.406198347107438	0.6	0.4	154	306.0
ctrdb_GSE20194	chemo	0.9130469755469756	0.921010296010296	0.9279279279279279	0.8	0.2	278	2097.0
ctrdb_GSE20271	chemo	0.7069838056680162	0.7467105263157895	0.750759109311741	0.8	0.2	178	2097.0
ctrdb_GSE21974	chemo	0.6282051282051282	0.6196581196581197	0.6310541310541311	0.8	0.2	57	2097.0
ctrdb_GSE22093	chemo	0.6909937888198756	0.7318840579710145	0.7339544513457557	0.8	0.2	97	2097.0
ctrdb_GSE23988	chemo	0.9792682926829268	0.8951219512195123	0.9414634146341464	0.8	0.2	61	2097.0
ctrdb_GSE25066	chemo	0.8659863415647477	0.8678299706577343	0.8788398120017656	0.8	0.2	488	2097.0
ctrdb_GSE32646	chemo	0.7146464646464646	0.7689393939393938	0.7685185185185185	0.8	0.2	115	2097.0
ctrdb_GSE37946	her2_targeted	0.7616747181964573	0.49597423510466987	0.5909822866344605	0.6	0.4	50	409.0
ctrdb_GSE41998	chemo	0.6636815920398009	0.34825870646766166	0.3970149253731343	0.8	0.2	206	2097.0
ctrdb_GSE44272	her2_targeted	0.5253968253968254	0.4634920634920635	0.4984126984126984	0.6	0.4	53	409.0
ctrdb_GSE4779	chemo	0.9922669922669923	0.9959299959299959	0.9979649979649979	0.8	0.2	102	2097.0
ctrdb_GSE48905	endocrine	0.40555555555555556	0.325	0.3388888888888889	0.6	0.4	39	306.0
ctrdb_GSE50948	chemo	0.5343469499908408	0.5781278622458326	0.5735482689137205	0.8	0.2	156	2097.0
ctrdb_GSE66999	chemo	0.3666666666666667	0.44285714285714284	0.4380952380952381	0.8	0.2	76	2097.0
ctrdb_GSE6861	chemo	0.8607655502392344	0.9023923444976077	0.9057416267942584	0.8	0.2	161	2097.0
ctrdb_GSE76360	her2_targeted	0.4636363636363636	0.4156565656565656	0.407070707070707	0.6	0.4	96	409.0
ctrdb_GSE82172	endocrine	0.41875681570338064	0.5081788440567067	0.4936386768447837	0.6	0.4	152	306.0
ispy2_Paclitaxel	chemo	0.5926329555361813	0.49978204010462074	0.5204882301656496	0.8	0.2	179	2097.0
ispy2_Paclitaxel_plus_Neratinib	her2_targeted	0.5066137566137565	0.5224867724867726	0.5205026455026455	0.6	0.4	114	409.0
ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	dna_damage	0.36447811447811446		0.36447811447811446	0.0	1.0	71	
ispy2_Paclitaxel_plus_Pembrolizumab	immunotherapy	0.433786078098472		0.433786078098472	0.0	1.0	69	
ispy2_T-DM1_plus_Pertuzumab	her2_targeted	0.5287878787878788	0.4575757575757576	0.4696969696969697	0.6	0.4	52	409.0
ispy2_Paclitaxel_plus_Ganitumab	other_targeted	0.47289156626506024	0.4081325301204819	0.4081325301204819	0.6	0.4	107	314.0
ispy2_Paclitaxel_plus_Ganetespib	other_targeted	0.4500574052812859	0.4799081515499426	0.4586681974741676	0.6	0.4	93	314.0
ispy2_Paclitaxel_plus_MK-2206	targeted	0.6203703703703705		0.6203703703703705	0.0	1.0	60	
ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	targeted	0.6920415224913494		0.6920415224913494	0.0	1.0	34	
ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	0.3695652173913043	0.5163043478260869	0.47282608695652173	0.6	0.4	31	409.0
ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	0.4551282051282051	0.47435897435897434	0.4615384615384615	0.6	0.4	44	409.0
ispy2_Paclitaxel_plus_AMG_386	other_targeted	0.530115974560419	0.454171343060232	0.5031799476243921	0.6	0.4	114	314.0
ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	0.2564102564102564	0.4487179487179487	0.38461538461538464	0.6	0.4	19	314.0
brightness_GSE164458	dna_damage	0.5909638969271049		0.5909638969271049	0.0	1.0	482	
