held_out_dataset	feature_set	auc	n_test	n_test_pos	n_train	n_train_pos	n_features	drug	n_targets
GSE104645	A_reversal_only	0.5255	126	112	3272	1353	5	Fluorouracil+Leucovorin+Oxaliplatin	0
GSE104645	B_reversal_plus_target_expr	0.5223	126	112	3272	1353	8	Fluorouracil+Leucovorin+Oxaliplatin	0
GSE104645	C_reversal_plus_target_expr_pw	0.5204	126	112	3272	1353	9	Fluorouracil+Leucovorin+Oxaliplatin	0
GSE104645	D_reversal_plus_all_dt	0.521	126	112	3272	1353	10	Fluorouracil+Leucovorin+Oxaliplatin	0
GSE104958	A_reversal_only	0.4632	46	12	3352	1453	5	Cisplatin+Docetaxel+Fluorouracil	0
GSE104958	B_reversal_plus_target_expr	0.4485	46	12	3352	1453	8	Cisplatin+Docetaxel+Fluorouracil	0
GSE104958	C_reversal_plus_target_expr_pw	0.4436	46	12	3352	1453	9	Cisplatin+Docetaxel+Fluorouracil	0
GSE104958	D_reversal_plus_all_dt	0.4436	46	12	3352	1453	10	Cisplatin+Docetaxel+Fluorouracil	0
GSE109211	A_reversal_only	0.3375	140	42	3258	1423	5	Sorafenib	4
GSE109211	B_reversal_plus_target_expr	0.3375	140	42	3258	1423	8	Sorafenib	4
GSE109211	C_reversal_plus_target_expr_pw	0.7738	140	42	3258	1423	9	Sorafenib	4
GSE109211	D_reversal_plus_all_dt	0.7738	140	42	3258	1423	10	Sorafenib	4
GSE14615	A_reversal_only	0.119	20	6	3378	1459	5	Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine	0
GSE14615	B_reversal_plus_target_expr	0.131	20	6	3378	1459	8	Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine	0
GSE14615	C_reversal_plus_target_expr_pw	0.131	20	6	3378	1459	9	Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine	0
GSE14615	D_reversal_plus_all_dt	0.131	20	6	3378	1459	10	Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine	0
GSE14671	A_reversal_only	0.5379	59	41	3339	1424	5	Imatinib	0
GSE14671	B_reversal_plus_target_expr	0.5379	59	41	3339	1424	8	Imatinib	0
GSE14671	C_reversal_plus_target_expr_pw	0.5379	59	41	3339	1424	9	Imatinib	0
GSE14671	D_reversal_plus_all_dt	0.5379	59	41	3339	1424	10	Imatinib	0
GSE173263	A_reversal_only	0.6414	39	29	3359	1436	5	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	0
GSE173263	B_reversal_plus_target_expr	0.6517	39	29	3359	1436	8	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	0
GSE173263	C_reversal_plus_target_expr_pw	0.6517	39	29	3359	1436	9	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	0
GSE173263	D_reversal_plus_all_dt	0.6517	39	29	3359	1436	10	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	0
GSE19293	A_reversal_only	0.4673	52	24	3346	1441	5	Melphalan	0
GSE19293	B_reversal_plus_target_expr	0.4926	52	24	3346	1441	8	Melphalan	0
GSE19293	C_reversal_plus_target_expr_pw	0.4821	52	24	3346	1441	9	Melphalan	0
GSE19293	D_reversal_plus_all_dt	0.4821	52	24	3346	1441	10	Melphalan	0
