held_out_dataset	method	k	seed	endpoint_family	drug	n_holdout	n_query	auroc	auprc
GSE104645	l1_logistic	0	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	126	0.6161	0.9199
GSE104645	l1_logistic	5	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6197	0.9213
GSE104645	l1_logistic	5	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6261	0.921
GSE104645	l1_logistic	5	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6481	0.9384
GSE104645	l1_logistic	5	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6182	0.9228
GSE104645	l1_logistic	5	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6432	0.9333
GSE104645	l1_logistic	10	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6094	0.9221
GSE104645	l1_logistic	10	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6505	0.9288
GSE104645	l1_logistic	10	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6348	0.9225
GSE104645	l1_logistic	10	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6774	0.937
GSE104645	l1_logistic	10	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6154	0.9209
GSE104645	l1_logistic	20	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6738	0.9341
GSE104645	l1_logistic	20	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.602	0.914
GSE104645	l1_logistic	20	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.5895	0.9089
GSE104645	l1_logistic	20	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6002	0.9077
GSE104645	l1_logistic	20	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6525	0.9311
GSE104645	feature_calibration	0	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	126	0.6161	0.9199
GSE104645	feature_calibration	5	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.4658	0.8912
GSE104645	feature_calibration	5	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.4886	0.8921
GSE104645	feature_calibration	5	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.609	0.9212
GSE104645	feature_calibration	5	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6204	0.9256
GSE104645	feature_calibration	5	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.5719	0.9141
GSE104645	feature_calibration	10	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.5489	0.9008
GSE104645	feature_calibration	10	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.5123	0.8784
GSE104645	feature_calibration	10	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.537	0.8977
GSE104645	feature_calibration	10	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.5302	0.8997
GSE104645	feature_calibration	10	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.475	0.8702
GSE104645	feature_calibration	20	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.5594	0.8942
GSE104645	feature_calibration	20	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.4938	0.876
GSE104645	feature_calibration	20	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.5257	0.8888
GSE104645	feature_calibration	20	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.5293	0.8796
GSE104645	feature_calibration	20	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.5789	0.9101
GSE104645	nn_finetune	0	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	126	0.6276	0.9188
GSE104645	nn_finetune	5	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6652	0.9382
GSE104645	nn_finetune	5	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6232	0.9249
GSE104645	nn_finetune	5	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.5862	0.9167
GSE104645	nn_finetune	5	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6474	0.9215
GSE104645	nn_finetune	5	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	121	0.6567	0.9322
GSE104645	nn_finetune	10	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6012	0.9174
GSE104645	nn_finetune	10	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6602	0.9275
GSE104645	nn_finetune	10	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6318	0.9187
GSE104645	nn_finetune	10	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.649	0.927
GSE104645	nn_finetune	10	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	116	0.6266	0.916
GSE104645	nn_finetune	20	0	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6835	0.9368
GSE104645	nn_finetune	20	1	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6871	0.9358
GSE104645	nn_finetune	20	2	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6463	0.9198
