dataset,drug_string,approach,auc,n_train,n_test,n_features,matched_drugs
GSE104645,Fluorouracil+Leucovorin+Oxaliplatin,dose_averaged,0.5701530612244898,3584,126,2,"fluorouracil, leucovorin"
GSE104645,Fluorouracil+Leucovorin+Oxaliplatin,dose_stratified,0.5784438775510204,3584,126,3,"fluorouracil, leucovorin"
GSE104645,Fluorouracil+Leucovorin+Oxaliplatin,dose_stratified_slope,0.6071428571428571,3584,126,6,"fluorouracil, leucovorin"
GSE104958,Cisplatin+Docetaxel+Fluorouracil,dose_averaged,0.5441176470588236,3664,46,3,"cisplatin, docetaxel, fluorouracil"
GSE104958,Cisplatin+Docetaxel+Fluorouracil,dose_stratified,0.4779411764705883,3664,46,5,"cisplatin, docetaxel, fluorouracil"
GSE104958,Cisplatin+Docetaxel+Fluorouracil,dose_stratified_slope,0.4436274509803922,3664,46,10,"cisplatin, docetaxel, fluorouracil"
GSE109211,Sorafenib,dose_averaged,0.4273566569484937,3570,140,1,sorafenib
GSE109211,Sorafenib,dose_stratified,0.586977648202138,3570,140,2,sorafenib
GSE109211,Sorafenib,dose_stratified_slope,0.652089407191448,3570,140,4,sorafenib
GSE14615,Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine,dose_averaged,0.11904761904761901,3690,20,5,"doxorubicin, mercaptopurine, methotrexate, prednisone, vincristine"
GSE14615,Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine,dose_stratified,0.20238095238095238,3690,20,9,"doxorubicin, mercaptopurine, methotrexate, prednisone, vincristine"
GSE14615,Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine,dose_stratified_slope,0.23809523809523814,3690,20,17,"doxorubicin, mercaptopurine, methotrexate, prednisone, vincristine"
GSE14671,Imatinib,dose_averaged,0.4769647696476965,3651,59,1,imatinib
GSE14671,Imatinib,dose_stratified,0.483739837398374,3651,59,2,imatinib
GSE14671,Imatinib,dose_stratified_slope,0.483739837398374,3651,59,4,imatinib
GSE173263,Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine,dose_averaged,0.3275862068965517,3671,39,4,"cyclophosphamide, doxorubicin, prednisolone, vincristine"
GSE173263,Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine,dose_stratified,0.3448275862068965,3671,39,7,"cyclophosphamide, doxorubicin, prednisolone, vincristine"
GSE173263,Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine,dose_stratified_slope,0.37586206896551727,3671,39,13,"cyclophosphamide, doxorubicin, prednisolone, vincristine"
GSE19293,Melphalan,dose_averaged,0.4479166666666667,3658,52,1,melphalan
GSE19293,Melphalan,dose_stratified,0.4479166666666667,3658,52,1,melphalan
GSE19293,Melphalan,dose_stratified_slope,0.4479166666666667,3658,52,2,melphalan
GSE20181,Letrozole,dose_averaged,0.5,3556,154,1,letrozole
GSE20181,Letrozole,dose_stratified,0.5,3556,154,1,letrozole
GSE20181,Letrozole,dose_stratified_slope,0.5,3556,154,2,letrozole
GSE20194,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),dose_averaged,0.5962033462033461,3432,278,4,"cyclophosphamide, doxorubicin, fluorouracil, paclitaxel"
GSE20194,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),dose_stratified,0.6042471042471043,3432,278,8,"cyclophosphamide, doxorubicin, fluorouracil, paclitaxel"
GSE20194,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),dose_stratified_slope,0.6303088803088803,3432,278,15,"cyclophosphamide, doxorubicin, fluorouracil, paclitaxel"
GSE20271,FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),dose_averaged,0.6052631578947368,3532,178,3,"cyclophosphamide, doxorubicin, fluorouracil"
GSE20271,FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),dose_stratified,0.6007085020242915,3532,178,6,"cyclophosphamide, doxorubicin, fluorouracil"
GSE20271,FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),dose_stratified_slope,0.5928643724696356,3532,178,11,"cyclophosphamide, doxorubicin, fluorouracil"
GSE21974,Cyclophosphamide+Docetaxel+Epirubicin,dose_averaged,0.641025641025641,3653,57,3,"cyclophosphamide, docetaxel, epirubicin"
GSE21974,Cyclophosphamide+Docetaxel+Epirubicin,dose_stratified,0.641025641025641,3653,57,3,"cyclophosphamide, docetaxel, epirubicin"
GSE21974,Cyclophosphamide+Docetaxel+Epirubicin,dose_stratified_slope,0.641025641025641,3653,57,6,"cyclophosphamide, docetaxel, epirubicin"
GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),dose_averaged,0.6521739130434783,3613,97,3,"cyclophosphamide, epirubicin, fluorouracil"
GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),dose_stratified,0.6754658385093169,3613,97,4,"cyclophosphamide, epirubicin, fluorouracil"
GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),dose_stratified_slope,0.6770186335403726,3613,97,8,"cyclophosphamide, epirubicin, fluorouracil"
GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,dose_averaged,0.7353658536585366,3649,61,5,"cyclophosphamide, epirubicin, fluorouracil, capecitabine, docetaxel"
GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,dose_stratified,0.7951219512195122,3649,61,6,"cyclophosphamide, epirubicin, fluorouracil, capecitabine, docetaxel"
GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,dose_stratified_slope,0.7853658536585366,3649,61,12,"cyclophosphamide, epirubicin, fluorouracil, capecitabine, docetaxel"
GSE25066,Anthracycline+Taxane,dose_averaged,0.35369115317701433,3222,488,5,"doxorubicin, epirubicin, daunorubicin, paclitaxel, docetaxel"
GSE25066,Anthracycline+Taxane,dose_stratified,0.41904910285373015,3222,488,9,"doxorubicin, epirubicin, daunorubicin, paclitaxel, docetaxel"
GSE25066,Anthracycline+Taxane,dose_stratified_slope,0.6329100776401547,3222,488,17,"doxorubicin, epirubicin, daunorubicin, paclitaxel, docetaxel"
GSE28702,FOLFOX (Fluorouracil+Leucovorin+Oxaliplatin),dose_averaged,0.6707317073170731,3627,83,2,"fluorouracil, leucovorin"
GSE28702,FOLFOX (Fluorouracil+Leucovorin+Oxaliplatin),dose_stratified,0.6626016260162602,3627,83,3,"fluorouracil, leucovorin"
GSE28702,FOLFOX (Fluorouracil+Leucovorin+Oxaliplatin),dose_stratified_slope,0.673054587688734,3627,83,6,"fluorouracil, leucovorin"
GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),dose_averaged,0.6123737373737373,3595,115,4,"cyclophosphamide, epirubicin, fluorouracil, paclitaxel"
GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),dose_stratified,0.6523569023569024,3595,115,6,"cyclophosphamide, epirubicin, fluorouracil, paclitaxel"
GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),dose_stratified_slope,0.630050505050505,3595,115,12,"cyclophosphamide, epirubicin, fluorouracil, paclitaxel"
GSE41998,AC (Cyclophosphamide+Doxorubicin)+Ixabepilone,dose_averaged,0.145273631840796,3504,206,2,"cyclophosphamide, doxorubicin"
GSE41998,AC (Cyclophosphamide+Doxorubicin)+Ixabepilone,dose_stratified,0.1850746268656716,3504,206,4,"cyclophosphamide, doxorubicin"
GSE41998,AC (Cyclophosphamide+Doxorubicin)+Ixabepilone,dose_stratified_slope,0.136318407960199,3504,206,7,"cyclophosphamide, doxorubicin"
GSE4779,Cyclophosphamide+Epirubicin+Fluorouracil,dose_averaged,0.544973544973545,3608,102,3,"cyclophosphamide, epirubicin, fluorouracil"
GSE4779,Cyclophosphamide+Epirubicin+Fluorouracil,dose_stratified,0.5730565730565731,3608,102,4,"cyclophosphamide, epirubicin, fluorouracil"
GSE4779,Cyclophosphamide+Epirubicin+Fluorouracil,dose_stratified_slope,0.5685795685795686,3608,102,8,"cyclophosphamide, epirubicin, fluorouracil"
GSE48905,Fulvestrant,dose_averaged,0.6222222222222223,3671,39,1,fulvestrant
GSE48905,Fulvestrant,dose_stratified,0.6138888888888888,3671,39,3,fulvestrant
GSE48905,Fulvestrant,dose_stratified_slope,0.5555555555555556,3671,39,5,fulvestrant
GSE50948,AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab,dose_averaged,0.5477193625206082,3554,156,5,"doxorubicin, paclitaxel, cyclophosphamide, fluorouracil, methotrexate"
GSE50948,AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab,dose_stratified,0.5563289979849789,3554,156,10,"doxorubicin, paclitaxel, cyclophosphamide, fluorouracil, methotrexate"
GSE50948,AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab,dose_stratified_slope,0.5572449166514014,3554,156,19,"doxorubicin, paclitaxel, cyclophosphamide, fluorouracil, methotrexate"
GSE5122,Tipifarnib,dose_averaged,0.4669811320754717,3653,57,1,tipifarnib
GSE5122,Tipifarnib,dose_stratified,0.4669811320754717,3653,57,1,tipifarnib
GSE5122,Tipifarnib,dose_stratified_slope,0.4669811320754717,3653,57,2,tipifarnib
GSE61676,Bevacizumab+Erlotinib,dose_averaged,,0,0,0,erlotinib
GSE61676,Bevacizumab+Erlotinib,dose_stratified,,0,0,0,erlotinib
GSE61676,Bevacizumab+Erlotinib,dose_stratified_slope,,0,0,0,erlotinib
GSE62321,Fluorouracil+Irinotecan+Leucovorin,dose_averaged,0.4950372208436724,3653,57,3,"fluorouracil, irinotecan, leucovorin"
