drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
abemaciclib,10.0,54.65608154019042,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
tucatinib,10.0,54.13621818000132,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
olaparib,10.0,54.0670029317619,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
letrozole,10.0,53.60645677354367,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
ribociclib,10.0,53.598567198271624,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
paclitaxel,10.0,53.3418284337294,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
pembrolizumab,10.0,53.307171034683826,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
dasatinib,10.0,53.01056651065901,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
palbociclib,10.0,52.97044729046561,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
alpelisib,10.0,52.59603681745963,ESR1(408); PGR(312); AKT1(64); PTEN(44); IL1B(44),high
