method,dataset,drug,n_patients,n_responders,n_nonresponders,auc,n_nonzero_genes,n_train
per_dataset_zscore,GSE104645,Fluorouracil+Leucovorin+Oxaliplatin,126,112,14,0.4783,39,3114
per_dataset_zscore,GSE104958,Cisplatin+Docetaxel+Fluorouracil,46,12,34,0.5662,39,3194
per_dataset_zscore,GSE109211,Sorafenib,140,42,98,0.1511,36,3100
per_dataset_zscore,GSE14615,Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine,20,6,14,0.3095,39,3220
per_dataset_zscore,GSE14671,Imatinib,59,41,18,0.5596,38,3181
per_dataset_zscore,GSE173263,Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine,39,29,10,0.2483,38,3201
per_dataset_zscore,GSE19293,Melphalan,52,24,28,0.4196,39,3188
per_dataset_zscore,GSE20181,Letrozole,154,110,44,0.3624,40,3086
per_dataset_zscore,GSE20194,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),278,56,222,0.6729,40,2962
per_dataset_zscore,GSE20271,FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),178,26,152,0.7394,39,3062
per_dataset_zscore,GSE21974,Cyclophosphamide+Docetaxel+Epirubicin,57,18,39,0.6425,37,3183
per_dataset_zscore,GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),97,28,69,0.6366,36,3143
per_dataset_zscore,GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,61,20,41,0.6183,37,3179
per_dataset_zscore,GSE28702,FOLFOX (Fluorouracil+Leucovorin+Oxaliplatin),83,42,41,0.5157,37,3157
per_dataset_zscore,GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),115,27,88,0.7235,37,3125
per_dataset_zscore,GSE41998,AC (Cyclophosphamide+Doxorubicin)+Ixabepilone,206,201,5,0.4677,40,3034
per_dataset_zscore,GSE4779,Cyclophosphamide+Epirubicin+Fluorouracil,102,39,63,0.6907,40,3138
per_dataset_zscore,GSE48905,Fulvestrant,39,15,24,0.5417,40,3201
per_dataset_zscore,GSE50948,AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab,156,53,103,0.503,42,3084
per_dataset_zscore,GSE5122,Tipifarnib,57,4,53,0.5472,40,3183
per_dataset_zscore,GSE61676,Bevacizumab+Erlotinib,86,46,40,0.5,39,3154
per_dataset_zscore,GSE62321,Fluorouracil+Irinotecan+Leucovorin,57,26,31,0.5335,39,3183
per_dataset_zscore,GSE66999,Docetaxel+Epirubicin+Pegfilgrastim,76,70,6,0.3857,41,3164
per_dataset_zscore,GSE6861,Cyclophosphamide+Epirubicin+Fluorouracil,161,66,95,0.6196,36,3079
per_dataset_zscore,GSE68871,VTD (Bortezomib+Thalidomide),118,97,21,0.5101,37,3122
per_dataset_zscore,GSE72970,FOLFIRI (Fluorouracil+Irinotecan+Leucovorin),124,63,61,0.4926,43,3116
per_dataset_zscore,GSE73578,Prednisone,63,40,23,0.2815,38,3177
per_dataset_zscore,GSE82172,Tamoxifen,152,21,131,0.502,39,3088
per_dataset_zscore,GSE8970,Tipifarnib,26,13,13,0.6746,39,3214
per_dataset_zscore,GSE9782,Bortezomib,312,180,132,0.5519,37,2928
quantile_norm,GSE104645,Fluorouracil+Leucovorin+Oxaliplatin,126,112,14,0.3661,28,3114
quantile_norm,GSE104958,Cisplatin+Docetaxel+Fluorouracil,46,12,34,0.4951,34,3194
quantile_norm,GSE109211,Sorafenib,140,42,98,0.2184,34,3100
quantile_norm,GSE14615,Doxorubicin+Mercaptopurine+Methotrexate+Prednisone+Vincristine,20,6,14,0.4881,36,3220
quantile_norm,GSE14671,Imatinib,59,41,18,0.439,35,3181
quantile_norm,GSE173263,Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine,39,29,10,0.5931,36,3201
quantile_norm,GSE19293,Melphalan,52,24,28,0.5045,36,3188
quantile_norm,GSE20181,Letrozole,154,110,44,0.5382,34,3086
quantile_norm,GSE20194,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),278,56,222,0.5822,31,2962
quantile_norm,GSE20271,FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),178,26,152,0.5635,31,3062
quantile_norm,GSE21974,Cyclophosphamide+Docetaxel+Epirubicin,57,18,39,0.4516,34,3183
quantile_norm,GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),97,28,69,0.6165,36,3143
quantile_norm,GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,61,20,41,0.5829,36,3179
quantile_norm,GSE28702,FOLFOX (Fluorouracil+Leucovorin+Oxaliplatin),83,42,41,0.5912,31,3157
quantile_norm,GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),115,27,88,0.6423,36,3125
quantile_norm,GSE41998,AC (Cyclophosphamide+Doxorubicin)+Ixabepilone,206,201,5,0.1701,30,3034
quantile_norm,GSE4779,Cyclophosphamide+Epirubicin+Fluorouracil,102,39,63,0.6215,35,3138
