gene,importance
FOXA1,67
IFNG,61
ROS1,58
PGR,53
HDAC1,52
TBP,51
NANOG,50
CCND1,48
EP300,48
CASP3,47
ERBB2,47
CTLA4,46
MAP3K1,43
NR1I2,43
APC,42
ACTB,42
TNF,42
CYP3A4,39
VEGFA,39
BMP2,38
XIAP,38
SMAD2,37
HSPB1,36
JAG1,36
DNMT1,35
CDKN1A,35
FGFR1,35
BBC3,34
ERCC1,33
CDKN2A,33
CCNE1,33
CCR5,32
PPARG,32
MAP2K1,32
EZH2,31
ESR1,31
SOX2,31
VDR,31
GSK3B,30
EPAS1,30
ABCG2,30
RRM2,30
CDK4,30
CDK6,30
FOXP3,29
AKT1,29
CCL2,29
RPL13A,29
IL1B,28
BCL2L11,28
TGFBR2,28
CDC20,28
LDHA,27
TUBB,27
NEK2,26
NTRK1,26
MYB,26
PLK1,26
E2F1,26
RB1,26
ACACA,26
ATR,26
TYMS,25
MET,25
BRAF,25
PMAIP1,25
DNMT3A,25
ALK,25
GUSB,25
CDK2,25
PARP1,25
HES1,24
HK2,24
PARP2,24
BCL2,24
HDAC6,24
SMAD3,24
RRM1,24
CHEK2,24
POU5F1,24
CYP2D6,24
BAX,23
BID,23
ATM,23
TOP2A,23
HMGCR,23
XPC,23
PMS2,23
BRCA1,23
KLF4,23
TLR4,23
GLI1,23
GAPDH,23
RELA,23
MDM4,22
PLK4,22
CD4,22
TGFBR1,22
NR3C1,22
GZMB,22
MLH1,22
PDGFRA,22
FZD1,22
NFKB1,22
BRD4,22
TP53,21
SQLE,21
KIF11,21
ABCB1,21
G6PD,21
GATA3,21
CTNNB1,21
EGFR,21
CDH1,21
BAK1,21
PPARA,20
STAT3,20
BCL2L1,20
HPRT1,20
MYC,20
TTK,20
MKI67,20
WNT1,20
KIT,20
PSMA1,20
PTEN,20
AURKB,20
CDKN1B,20
BRCA2,19
DHFR,19
RXRA,19
SMO,19
B2M,19
AR,19
NOTCH1,19
RET,19
CDC25C,18
CD8A,18
FOS,18
RAD51,18
CREBBP,18
MDM2,18
HSPA8,18
MAPK1,18
XRCC1,17
CENPE,17
MCL1,17
PDCD1,17
SREBF1,17
HSPA1A,17
MYD88,17
HSP90AA1,17
HDAC3,17
NOTCH2,17
CDC25A,16
AXIN1,16
SMAD4,16
USP7,16
ABL1,16
KDR,16
YES1,16
KAT2A,16
CXCR4,16
HDAC2,16
PIK3CA,16
GZMA,15
WEE1,15
TUBA1A,15
HSP90AB1,15
SLC22A1,15
JAK2,15
VHL,14
BIRC5,14
TGFB1,14
CCNA2,14
FYN,14
SRC,14
LRP5,14
KRAS,14
SHH,14
SCD,13
JUN,13
IL6,12
RARA,12
BUB1,12
HIF1A,12
PRF1,12
MAPK3,12
FASN,11
SIRT1,11
IKBKB,11
MSH2,10
CHEK1,9
UBE2C,9
HSPA5,9
EGR1,9
CYP1A2,9
CASP8,9
AURKA,8
PSMB5,8
CCNB1,6
