treatment_class	n_datasets	n_total_patients	pooled_auc_mean	pooled_auc_median	class_auc_mean	class_auc_median	routed_auc_mean	routed_auc_median
chemo	13	2154	0.7314993464518348	0.7069838056680162	0.7168078775288247	0.7467105263157895	0.7281054347769988	0.750759109311741
dna_damage	2	553	0.47772100570260967	0.47772100570260967			0.47772100570260967	0.47772100570260967
endocrine	3	345	0.40369641025435615	0.40555555555555556	0.4445306890657341	0.5004132231404959	0.4129086376137036	0.406198347107438
her2_targeted	7	440	0.5158289950215416	0.5066137566137565	0.47797838807155574	0.47435897435897434	0.48871855083035204	0.47282608695652173
immunotherapy	1	69	0.433786078098472	0.433786078098472			0.433786078098472	0.433786078098472
other_targeted	4	333	0.4273688006292554	0.46147448577317307	0.4477324933621513	0.45144464588909033	0.43864901495860653	0.4334003637973247
targeted	2	94	0.6562059464308599	0.6562059464308599			0.6562059464308599	0.6562059464308599
OVERALL	32	3988	0.5857030901459419	0.5322314622756299	0.5847730801859784	0.5004132231404959	0.580667576967325	0.5118340888950208
