drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
tucatinib,10.0,57.727446932248974,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
palbociclib,10.0,56.89377610727129,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
pembrolizumab,10.0,56.46643438305573,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
olaparib,10.0,56.33383226636558,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
letrozole,10.0,56.29853302376481,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
ribociclib,10.0,55.51596301728818,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
doxorubicin,10.0,55.12739879618471,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
talazoparib,10.0,54.95975956236207,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
tamoxifen,10.0,54.93735043219007,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
alpelisib,10.0,54.84539961365255,ESR1(476); PGR(375); GATA3(85); FOXA1(50); BRCA2(37),high
