gene	importance
VEGFA	82
CCND1	81
HSPB1	77
CASP3	70
PGR	65
CTLA4	63
CDKN1B	61
ERCC1	60
EGFR	59
HMGCR	59
B2M	59
CDH1	58
AKT1	58
NANOG	58
SMAD2	57
SOX2	57
TNF	56
XIAP	55
VDR	54
GUSB	54
MYC	54
SMO	53
BMP2	52
HDAC3	52
ATM	52
DLL1	52
PKM	52
SMAD3	52
IL1B	51
GSK3B	51
EZH2	51
BID	50
EPAS1	50
MDM4	50
PLK4	49
AURKB	49
PPARA	49
MAPK1	48
PMAIP1	47
HPRT1	47
NTRK1	47
ACACA	47
GATA3	47
BBC3	46
E2F1	46
HSP90AB1	46
MSH2	46
MAP3K1	45
CHEK2	45
CD4	45
MLH1	45
PDGFRA	45
GZMB	45
HES1	44
FZD1	44
FOXA1	44
NR1I2	44
CD274	44
APC	44
UGT1A1	43
FOS	43
ROS1	43
STAT3	43
EGR1	43
PLK1	42
BRCA2	42
MAP2K1	42
TP53	42
AR	42
BCL2L1	41
ACTB	41
ABCB1	41
RRM2	41
TUBA1A	40
G6PD	40
RET	40
IFNG	40
YES1	40
CDC20	40
CYP3A4	40
BAX	40
DNMT3A	39
CCNE1	39
PSMB5	39
BRD4	39
PARP2	38
AXIN1	38
SREBF1	38
FOXP3	38
ABL1	38
HSPA5	38
NFKB1	38
NOTCH1	38
BRCA1	37
LRP5	37
TUBB	37
IKBKB	37
ERBB2	37
FYN	36
XPC	36
CXCL8	36
CDKN1A	36
SQLE	36
GLI1	36
PSMA1	36
ATR	35
JUN	35
KRAS	35
RRM1	35
KIT	35
HDAC1	35
SLCO1B1	35
HK2	35
FASN	35
VHL	34
PMS2	34
HSP90AA1	34
TBP	34
PPARG	33
CCL2	33
MKI67	33
KAT2A	33
KLF4	33
KDM1A	33
HDAC6	32
CCR5	32
RB1	32
RAD51	32
BRAF	32
PTEN	32
HDAC2	32
ABCG2	32
MYD88	32
POU5F1	32
HSPA8	31
PDCD1	31
UBB	31
XRCC1	31
CHEK1	31
CYP1A2	30
WNT1	30
MCL1	30
CXCR4	30
EP300	30
ALK	29
CASP8	29
FGFR1	29
KIF11	29
NR3C1	29
DNMT1	29
KDM5A	29
CDK1	29
SMAD4	28
JAK2	28
TLR4	28
SCD	27
MYB	27
TGFBR1	27
TOP2A	27
CDKN2A	26
RPL13A	26
JAG1	26
KDR	26
CTNNB1	26
TYMS	26
DHFR	26
TGFB1	25
BUB1	25
BCL2L11	25
GAPDH	25
MET	25
CDK6	24
CREBBP	24
CCNA2	24
AURKA	24
SLC22A1	24
LDHA	24
BCL2	23
HIF1A	23
PARP1	23
RARA	23
CENPE	23
RELA	23
CYP2D6	22
IL6	22
ESR1	21
PIK3CA	21
SHH	21
CDC25C	21
TTK	21
WEE1	21
CDK2	21
NEK2	21
RXRA	20
MTOR	20
SRC	19
MDM2	19
BAK1	19
USP7	18
NOTCH2	18
GZMA	18
TGFBR2	18
HSPA1A	17
BIRC5	17
SIRT1	16
CDC25A	16
CDK4	16
MAPK3	15
PRF1	15
CD8A	14
UBE2C	12
CCNB1	5
