dataset	n	resp	auc	treatment_class	is_new
GSE104645	126	112	0.5114795918367347	chemo	False
GSE104958	46	12	0.6323529411764707	chemo	False
GSE109211	140	42	0.6909620991253644	chemo	False
GSE131978	37	18	0.5321637426900585	chemo	False
GSE14615	20	6	0.3928571428571428	chemo	False
GSE14671	59	41	0.5772357723577236	chemo	False
GSE173263	39	29	0.4655172413793103	chemo	False
GSE19293	52	24	0.6279761904761906	chemo	False
GSE20181	154	110	0.4183884297520661	chemo	False
GSE20194	278	56	0.9015444015444016	chemo	False
GSE20271	178	26	0.7024291497975709	chemo	False
GSE21974	57	18	0.7037037037037037	chemo	False
GSE22093	97	28	0.687888198757764	chemo	False
GSE23988	61	20	0.9292682926829268	chemo	False
GSE25066	488	99	0.8602217548232973	chemo	False
GSE28702	83	42	0.4849012775842044	chemo	False
GSE32646	115	27	0.7567340067340067	chemo	False
GSE35640	56	22	0.5213903743315508	chemo	False
GSE37946	50	27	0.8115942028985508	chemo	False
GSE41998	206	201	0.5154228855721393	chemo	False
GSE44272	53	35	0.38888888888888895	chemo	False
GSE4779	102	39	0.9796499796499796	chemo	False
GSE48905	39	15	0.5250000000000001	chemo	False
GSE50948	156	53	0.49880930573365084	chemo	False
GSE5122	57	4	0.6415094339622641	chemo	False
GSE62321	57	26	0.5856079404466501	chemo	False
GSE63885	68	65	0.44102564102564107	chemo	False
GSE65021	40	31	0.4946236559139785	chemo	False
GSE66999	76	70	0.4928571428571429	chemo	False
GSE6861	161	66	0.8582137161084529	chemo	False
GSE68871	118	97	0.498772704958272	chemo	False
GSE72970	124	63	0.5123601353109549	chemo	False
GSE73578	63	40	0.6880434782608695	chemo	False
GSE76360	96	66	0.5681818181818182	chemo	False
GSE82172	152	21	0.5205379861868412	chemo	False
GSE8970	26	13	0.6153846153846154	chemo	False
brightness	482	236	0.630821964999311	parp	True
ispy2	988	319	0.5203386891959646	combination	True
